prec_id,Jim Proctor,Mike Hager,election
cleveland_KINGST,292,141,nc_house_of_representatives_district_112
cleveland_LATT,299,787,nc_house_of_representatives_district_112
cleveland_MRB-YO,166,424,nc_house_of_representatives_district_112
rutherford_03A,181,691,nc_house_of_representatives_district_112
rutherford_04A,306,622,nc_house_of_representatives_district_112
rutherford_05A,323,628,nc_house_of_representatives_district_112
rutherford_06A,432,583,nc_house_of_representatives_district_112
rutherford_09A,394,997,nc_house_of_representatives_district_112
rutherford_10A,90,387,nc_house_of_representatives_district_112
rutherford_11,585,1418,nc_house_of_representatives_district_112
rutherford_13,744,833,nc_house_of_representatives_district_112
rutherford_14,392,520,nc_house_of_representatives_district_112
rutherford_16A,327,715,nc_house_of_representatives_district_112
rutherford_18,378,595,nc_house_of_representatives_district_112
rutherford_19,237,486,nc_house_of_representatives_district_112
rutherford_27,632,1100,nc_house_of_representatives_district_112
rutherford_28,204,466,nc_house_of_representatives_district_112
rutherford_29,260,477,nc_house_of_representatives_district_112
rutherford_30,596,758,nc_house_of_representatives_district_112
rutherford_34,159,479,nc_house_of_representatives_district_112
rutherford_CURBSIDE,67,73,nc_house_of_representatives_district_112
