prec_id,Eric L. Mansfield,Wade Fowler,election
cumberland_G5A,1067,689,nc_state_senate_district_21
cumberland_G5C,40,7,nc_state_senate_district_21
cumberland_CL57,1376,464,nc_state_senate_district_21
cumberland_CC03,192,106,nc_state_senate_district_21
cumberland_CC04,251,228,nc_state_senate_district_21
cumberland_CC05,567,84,nc_state_senate_district_21
cumberland_CC06,182,293,nc_state_senate_district_21
cumberland_CC07,197,318,nc_state_senate_district_21
cumberland_G2A,1062,603,nc_state_senate_district_21
cumberland_CC13,502,29,nc_state_senate_district_21
cumberland_CC14,465,647,nc_state_senate_district_21
cumberland_CC16,998,26,nc_state_senate_district_21
cumberland_CC17,803,126,nc_state_senate_district_21
cumberland_CC19,315,10,nc_state_senate_district_21
cumberland_CC21,753,355,nc_state_senate_district_21
cumberland_G2B,828,595,nc_state_senate_district_21
cumberland_G2C,986,979,nc_state_senate_district_21
cumberland_CC24,193,214,nc_state_senate_district_21
cumberland_CC25,404,294,nc_state_senate_district_21
cumberland_CC26,859,286,nc_state_senate_district_21
cumberland_CC27,660,267,nc_state_senate_district_21
cumberland_G5B,1504,291,nc_state_senate_district_21
cumberland_CC32,355,105,nc_state_senate_district_21
cumberland_CC33,552,417,nc_state_senate_district_21
cumberland_LR63,870,234,nc_state_senate_district_21
cumberland_G2D,746,758,nc_state_senate_district_21
cumberland_G11B,204,164,nc_state_senate_district_21
cumberland_MB62,442,131,nc_state_senate_district_21
cumberland_MR02,594,370,nc_state_senate_district_21
cumberland_G11A,1025,299,nc_state_senate_district_21
cumberland_G2E,1218,298,nc_state_senate_district_21
