prec_id,Craig Horn,election
union_005,719,nc_house_of_representatives_district_68
union_006,528,nc_house_of_representatives_district_68
union_007,401,nc_house_of_representatives_district_68
union_012,36,nc_house_of_representatives_district_68
union_013,777,nc_house_of_representatives_district_68
union_014,399,nc_house_of_representatives_district_68
union_015,1202,nc_house_of_representatives_district_68
union_016,1019,nc_house_of_representatives_district_68
union_017A,910,nc_house_of_representatives_district_68
union_017B,1157,nc_house_of_representatives_district_68
union_018,979,nc_house_of_representatives_district_68
union_019,1163,nc_house_of_representatives_district_68
union_020A,766,nc_house_of_representatives_district_68
union_020B,842,nc_house_of_representatives_district_68
union_021,714,nc_house_of_representatives_district_68
union_022,1005,nc_house_of_representatives_district_68
union_028A,1116,nc_house_of_representatives_district_68
union_028B,1074,nc_house_of_representatives_district_68
union_028C,995,nc_house_of_representatives_district_68
union_028D,876,nc_house_of_representatives_district_68
union_029A,785,nc_house_of_representatives_district_68
union_029B,547,nc_house_of_representatives_district_68
union_029C,622,nc_house_of_representatives_district_68
union_030,1087,nc_house_of_representatives_district_68
union_031,695,nc_house_of_representatives_district_68
union_033,803,nc_house_of_representatives_district_68
union_034,50,nc_house_of_representatives_district_68
union_035,699,nc_house_of_representatives_district_68
union_037A,847,nc_house_of_representatives_district_68
union_037B,580,nc_house_of_representatives_district_68
union_038A,696,nc_house_of_representatives_district_68
union_038B,758,nc_house_of_representatives_district_68
union_039,590,nc_house_of_representatives_district_68
union_040,1177,nc_house_of_representatives_district_68
union_041,1033,nc_house_of_representatives_district_68
union_042,423,nc_house_of_representatives_district_68
union_CURBSIDE,0,nc_house_of_representatives_district_68
