prec_id,Garland E. Pierce,John F. Harry,election
hoke_01,78,25,nc_house_of_representatives_district_48
hoke_02,435,118,nc_house_of_representatives_district_48
hoke_03,239,62,nc_house_of_representatives_district_48
hoke_05,23,3,nc_house_of_representatives_district_48
hoke_13,36,48,nc_house_of_representatives_district_48
hoke_61,451,187,nc_house_of_representatives_district_48
hoke_62,187,139,nc_house_of_representatives_district_48
hoke_63,627,181,nc_house_of_representatives_district_48
hoke_64,381,213,nc_house_of_representatives_district_48
hoke_65,395,9,nc_house_of_representatives_district_48
robeson_01,183,59,nc_house_of_representatives_district_48
robeson_02,30,5,nc_house_of_representatives_district_48
robeson_03,140,279,nc_house_of_representatives_district_48
robeson_05,568,228,nc_house_of_representatives_district_48
robeson_06,246,34,nc_house_of_representatives_district_48
robeson_07,182,54,nc_house_of_representatives_district_48
robeson_12,23,0,nc_house_of_representatives_district_48
robeson_13,14,12,nc_house_of_representatives_district_48
robeson_15,207,30,nc_house_of_representatives_district_48
robeson_16,250,4,nc_house_of_representatives_district_48
robeson_17,9,0,nc_house_of_representatives_district_48
robeson_19,675,118,nc_house_of_representatives_district_48
robeson_20,203,146,nc_house_of_representatives_district_48
robeson_29,441,118,nc_house_of_representatives_district_48
robeson_36,60,17,nc_house_of_representatives_district_48
robeson_37,87,144,nc_house_of_representatives_district_48
robeson_40,142,59,nc_house_of_representatives_district_48
robeson_CURBSIDE,0,0,nc_house_of_representatives_district_48
scotland_1,401,66,nc_house_of_representatives_district_48
scotland_2,268,48,nc_house_of_representatives_district_48
scotland_4,21,3,nc_house_of_representatives_district_48
scotland_6,89,56,nc_house_of_representatives_district_48
scotland_7,470,202,nc_house_of_representatives_district_48
scotland_8,11,11,nc_house_of_representatives_district_48
