prec_id,Kevin Furr,Justin P. Burr,election
montgomery_ELD,93,368,nc_house_of_representatives_district_67
montgomery_UWH,99,267,nc_house_of_representatives_district_67
stanly_0002,80,163,nc_house_of_representatives_district_67
stanly_0003,214,399,nc_house_of_representatives_district_67
stanly_0007,139,371,nc_house_of_representatives_district_67
stanly_0008,398,13,nc_house_of_representatives_district_67
stanly_0010,91,296,nc_house_of_representatives_district_67
stanly_0011,92,277,nc_house_of_representatives_district_67
stanly_0012,56,173,nc_house_of_representatives_district_67
stanly_0013,82,320,nc_house_of_representatives_district_67
stanly_0014,73,267,nc_house_of_representatives_district_67
stanly_0015,199,285,nc_house_of_representatives_district_67
stanly_0016,128,202,nc_house_of_representatives_district_67
stanly_0017,119,397,nc_house_of_representatives_district_67
stanly_0018,105,262,nc_house_of_representatives_district_67
stanly_0019,90,451,nc_house_of_representatives_district_67
stanly_0020,88,552,nc_house_of_representatives_district_67
stanly_0021,49,388,nc_house_of_representatives_district_67
stanly_0022,180,488,nc_house_of_representatives_district_67
stanly_0023,127,717,nc_house_of_representatives_district_67
stanly_0024,97,698,nc_house_of_representatives_district_67
stanly_0025,134,705,nc_house_of_representatives_district_67
stanly_0026,132,407,nc_house_of_representatives_district_67
stanly_0027,180,502,nc_house_of_representatives_district_67
stanly_0028,185,217,nc_house_of_representatives_district_67
union_011,133,776,nc_house_of_representatives_district_67
union_012,125,799,nc_house_of_representatives_district_67
union_013,4,98,nc_house_of_representatives_district_67
union_032,270,906,nc_house_of_representatives_district_67
union_CURBSIDE,0,0,nc_house_of_representatives_district_67
