prec_id,Martha Alexander,Michael Cavallo,election
mecklenburg_8,342,549,nc_house_of_representatives_district_106
mecklenburg_9,625,465,nc_house_of_representatives_district_106
mecklenburg_10,514,427,nc_house_of_representatives_district_106
mecklenburg_18,339,569,nc_house_of_representatives_district_106
mecklenburg_20,465,468,nc_house_of_representatives_district_106
mecklenburg_21,385,280,nc_house_of_representatives_district_106
mecklenburg_32,373,708,nc_house_of_representatives_district_106
mecklenburg_37,344,424,nc_house_of_representatives_district_106
mecklenburg_38,339,262,nc_house_of_representatives_district_106
mecklenburg_47,173,318,nc_house_of_representatives_district_106
mecklenburg_50,323,348,nc_house_of_representatives_district_106
mecklenburg_51,485,459,nc_house_of_representatives_district_106
mecklenburg_52,911,27,nc_house_of_representatives_district_106
mecklenburg_58,244,303,nc_house_of_representatives_district_106
mecklenburg_59,263,226,nc_house_of_representatives_district_106
mecklenburg_77,771,58,nc_house_of_representatives_district_106
mecklenburg_078.1,372,133,nc_house_of_representatives_district_106
mecklenburg_97,348,115,nc_house_of_representatives_district_106
mecklenburg_98,544,105,nc_house_of_representatives_district_106
mecklenburg_120,445,114,nc_house_of_representatives_district_106
mecklenburg_138,533,210,nc_house_of_representatives_district_106
mecklenburg_147,867,183,nc_house_of_representatives_district_106
mecklenburg_CURBSIDE,58,10,nc_house_of_representatives_district_106
