prec_id,Chris Heagarty,Tom Murry,election
wake_43930,367,568,nc_house_of_representatives_district_41
wake_43934,658,747,nc_house_of_representatives_district_41
wake_43940,345,393,nc_house_of_representatives_district_41
wake_43952,550,673,nc_house_of_representatives_district_41
wake_43954,371,594,nc_house_of_representatives_district_41
wake_43955,1079,1008,nc_house_of_representatives_district_41
wake_43956,849,904,nc_house_of_representatives_district_41
wake_43957,646,929,nc_house_of_representatives_district_41
wake_44013,422,364,nc_house_of_representatives_district_41
wake_44019,709,752,nc_house_of_representatives_district_41
wake_07-07A,161,178,nc_house_of_representatives_district_41
wake_44022,717,663,nc_house_of_representatives_district_41
wake_44024,514,433,nc_house_of_representatives_district_41
wake_44045,691,850,nc_house_of_representatives_district_41
wake_44046,652,780,nc_house_of_representatives_district_41
wake_44049,423,216,nc_house_of_representatives_district_41
wake_44052,413,383,nc_house_of_representatives_district_41
wake_44053,414,455,nc_house_of_representatives_district_41
wake_44054,612,694,nc_house_of_representatives_district_41
wake_20-02,1210,1482,nc_house_of_representatives_district_41
wake_20-04,520,633,nc_house_of_representatives_district_41
wake_20-10,552,643,nc_house_of_representatives_district_41
wake_20-11,10,23,nc_house_of_representatives_district_41
wake_20-12,54,109,nc_house_of_representatives_district_41
