prec_id,Frank Deaton,Ruth Samuelson,election
mecklenburg_8,35,150,nc_house_of_representatives_district_104
mecklenburg_19,230,610,nc_house_of_representatives_district_104
mecklenburg_35,75,154,nc_house_of_representatives_district_104
mecklenburg_36,343,858,nc_house_of_representatives_district_104
mecklenburg_47,135,415,nc_house_of_representatives_district_104
mecklenburg_48,171,866,nc_house_of_representatives_district_104
mecklenburg_49,253,559,nc_house_of_representatives_district_104
mecklenburg_57,264,653,nc_house_of_representatives_district_104
mecklenburg_65,226,496,nc_house_of_representatives_district_104
mecklenburg_66,209,414,nc_house_of_representatives_district_104
mecklenburg_67,218,580,nc_house_of_representatives_district_104
mecklenburg_68,256,326,nc_house_of_representatives_district_104
mecklenburg_69,122,396,nc_house_of_representatives_district_104
mecklenburg_70,256,878,nc_house_of_representatives_district_104
mecklenburg_71,167,795,nc_house_of_representatives_district_104
mecklenburg_72,180,591,nc_house_of_representatives_district_104
mecklenburg_73,244,522,nc_house_of_representatives_district_104
mecklenburg_74,213,826,nc_house_of_representatives_district_104
mecklenburg_75,346,1210,nc_house_of_representatives_district_104
mecklenburg_76,383,1015,nc_house_of_representatives_district_104
mecklenburg_86,187,945,nc_house_of_representatives_district_104
mecklenburg_87,14,13,nc_house_of_representatives_district_104
mecklenburg_92,319,942,nc_house_of_representatives_district_104
mecklenburg_93,204,679,nc_house_of_representatives_district_104
mecklenburg_101,272,757,nc_house_of_representatives_district_104
mecklenburg_106,200,510,nc_house_of_representatives_district_104
mecklenburg_110,164,545,nc_house_of_representatives_district_104
mecklenburg_111,295,915,nc_house_of_representatives_district_104
mecklenburg_114,297,1033,nc_house_of_representatives_district_104
mecklenburg_119,204,507,nc_house_of_representatives_district_104
mecklenburg_129,68,65,nc_house_of_representatives_district_104
mecklenburg_CURBSIDE,19,56,nc_house_of_representatives_district_104
