prec_id,Rosa U. Gill,Paul Terrell,election
wake_43842,58,48,nc_house_of_representatives_district_33
wake_43843,453,154,nc_house_of_representatives_district_33
wake_43849,464,19,nc_house_of_representatives_district_33
wake_43850,498,39,nc_house_of_representatives_district_33
wake_43852,899,24,nc_house_of_representatives_district_33
wake_43858,930,197,nc_house_of_representatives_district_33
wake_12420,404,18,nc_house_of_representatives_district_33
wake_13881,532,409,nc_house_of_representatives_district_33
wake_14611,989,55,nc_house_of_representatives_district_33
wake_16803,631,158,nc_house_of_representatives_district_33
wake_13-01,578,180,nc_house_of_representatives_district_33
wake_13-07,310,218,nc_house_of_representatives_district_33
wake_17-01,573,311,nc_house_of_representatives_district_33
wake_17-03,1172,820,nc_house_of_representatives_district_33
wake_17-05,840,443,nc_house_of_representatives_district_33
wake_17-07,878,172,nc_house_of_representatives_district_33
wake_17-09,932,88,nc_house_of_representatives_district_33
wake_17-10,273,193,nc_house_of_representatives_district_33
wake_17-11,853,392,nc_house_of_representatives_district_33
