prec_id,John Faircloth,election
guilford_FR2,762,nc_house_of_representatives_district_61
guilford_H01,212,nc_house_of_representatives_district_61
guilford_H02,468,nc_house_of_representatives_district_61
guilford_H03,56,nc_house_of_representatives_district_61
guilford_H04,309,nc_house_of_representatives_district_61
guilford_H06,635,nc_house_of_representatives_district_61
guilford_H10,32,nc_house_of_representatives_district_61
guilford_H12,164,nc_house_of_representatives_district_61
guilford_H13,648,nc_house_of_representatives_district_61
guilford_H14,715,nc_house_of_representatives_district_61
guilford_H15,462,nc_house_of_representatives_district_61
guilford_H16,445,nc_house_of_representatives_district_61
guilford_H17,103,nc_house_of_representatives_district_61
guilford_H18,135,nc_house_of_representatives_district_61
guilford_H19A,36,nc_house_of_representatives_district_61
guilford_H19B,227,nc_house_of_representatives_district_61
guilford_H20A,351,nc_house_of_representatives_district_61
guilford_H20B,424,nc_house_of_representatives_district_61
guilford_H21,454,nc_house_of_representatives_district_61
guilford_H22,331,nc_house_of_representatives_district_61
guilford_H23,536,nc_house_of_representatives_district_61
guilford_H24,793,nc_house_of_representatives_district_61
guilford_H25,1308,nc_house_of_representatives_district_61
guilford_H26,649,nc_house_of_representatives_district_61
guilford_H27-A,726,nc_house_of_representatives_district_61
guilford_H27-B,426,nc_house_of_representatives_district_61
guilford_H28,680,nc_house_of_representatives_district_61
guilford_H29A,382,nc_house_of_representatives_district_61
guilford_H29B,406,nc_house_of_representatives_district_61
guilford_JAM1,1055,nc_house_of_representatives_district_61
guilford_JAM2,592,nc_house_of_representatives_district_61
guilford_JAM3,512,nc_house_of_representatives_district_61
guilford_JAM4,869,nc_house_of_representatives_district_61
guilford_JAM5,166,nc_house_of_representatives_district_61
guilford_SDRI,944,nc_house_of_representatives_district_61
guilford_SUM1,357,nc_house_of_representatives_district_61
guilford_SUM3,47,nc_house_of_representatives_district_61
