prec_id,John M. Blust,Jeffery Simon,election
guilford_CG1,509,183,nc_house_of_representatives_district_62
guilford_CG2,639,151,nc_house_of_representatives_district_62
guilford_CG3A,584,141,nc_house_of_representatives_district_62
guilford_CG3B,794,220,nc_house_of_representatives_district_62
guilford_FR3,486,86,nc_house_of_representatives_district_62
guilford_FR4,519,81,nc_house_of_representatives_district_62
guilford_FR5A,532,116,nc_house_of_representatives_district_62
guilford_FR5B,395,70,nc_house_of_representatives_district_62
guilford_G24,206,128,nc_house_of_representatives_district_62
guilford_G25,459,166,nc_house_of_representatives_district_62
guilford_G27,927,241,nc_house_of_representatives_district_62
guilford_G28,305,130,nc_house_of_representatives_district_62
guilford_G29,310,131,nc_house_of_representatives_district_62
guilford_G30,571,117,nc_house_of_representatives_district_62
guilford_G32,1060,207,nc_house_of_representatives_district_62
guilford_G39,224,73,nc_house_of_representatives_district_62
guilford_G40A1,497,127,nc_house_of_representatives_district_62
guilford_G40A2,308,76,nc_house_of_representatives_district_62
guilford_G40B,503,94,nc_house_of_representatives_district_62
guilford_G41A,351,86,nc_house_of_representatives_district_62
guilford_G41B,530,101,nc_house_of_representatives_district_62
guilford_G42A,700,144,nc_house_of_representatives_district_62
guilford_G42B,218,32,nc_house_of_representatives_district_62
guilford_G64,1,0,nc_house_of_representatives_district_62
guilford_NCGR1,1056,151,nc_house_of_representatives_district_62
guilford_NCGR2,601,80,nc_house_of_representatives_district_62
guilford_NDRI,745,69,nc_house_of_representatives_district_62
guilford_OR1,1197,152,nc_house_of_representatives_district_62
guilford_OR2,835,125,nc_house_of_representatives_district_62
guilford_SDRI,379,27,nc_house_of_representatives_district_62
guilford_SF1,1102,127,nc_house_of_representatives_district_62
guilford_SF2,583,76,nc_house_of_representatives_district_62
guilford_SF3,830,129,nc_house_of_representatives_district_62
guilford_SF4,1151,197,nc_house_of_representatives_district_62
guilford_STOK,1192,161,nc_house_of_representatives_district_62
