prec_id,John May,Glen Bradley,election
franklin_01,625,282,nc_house_of_representatives_district_49
franklin_02,453,248,nc_house_of_representatives_district_49
franklin_03,679,628,nc_house_of_representatives_district_49
franklin_05,337,528,nc_house_of_representatives_district_49
franklin_06,450,287,nc_house_of_representatives_district_49
franklin_07,176,484,nc_house_of_representatives_district_49
franklin_08,435,599,nc_house_of_representatives_district_49
franklin_09,416,295,nc_house_of_representatives_district_49
franklin_10,275,232,nc_house_of_representatives_district_49
franklin_11,498,234,nc_house_of_representatives_district_49
franklin_12,306,274,nc_house_of_representatives_district_49
franklin_13,292,551,nc_house_of_representatives_district_49
franklin_14,579,974,nc_house_of_representatives_district_49
franklin_15,890,352,nc_house_of_representatives_district_49
franklin_16,686,301,nc_house_of_representatives_district_49
franklin_17,441,843,nc_house_of_representatives_district_49
franklin_18,339,704,nc_house_of_representatives_district_49
franklin_19,543,1050,nc_house_of_representatives_district_49
halifax_BUTWD,23,12,nc_house_of_representatives_district_49
halifax_HOL,420,44,nc_house_of_representatives_district_49
halifax_LIT 1,307,96,nc_house_of_representatives_district_49
halifax_LIT 2,216,415,nc_house_of_representatives_district_49
halifax_RR 1,102,193,nc_house_of_representatives_district_49
halifax_RR 2,45,72,nc_house_of_representatives_district_49
halifax_RR 3,114,225,nc_house_of_representatives_district_49
halifax_RR 4,120,285,nc_house_of_representatives_district_49
halifax_RR 5,79,205,nc_house_of_representatives_district_49
halifax_RR 6,76,202,nc_house_of_representatives_district_49
halifax_RR 11,123,334,nc_house_of_representatives_district_49
halifax_CURBSIDE,0,0,nc_house_of_representatives_district_49
nash_0007,108,42,nc_house_of_representatives_district_49
