prec_id,Phil Haire,Dodie Allen,election
haywood_AC,280,204,nc_house_of_representatives_district_119
haywood_CE,69,126,nc_house_of_representatives_district_119
haywood_EF,221,293,nc_house_of_representatives_district_119
haywood_IH,603,620,nc_house_of_representatives_district_119
haywood_P,103,230,nc_house_of_representatives_district_119
haywood_SA,542,449,nc_house_of_representatives_district_119
haywood_WS-1,109,92,nc_house_of_representatives_district_119
haywood_CURBSIDE,8,4,nc_house_of_representatives_district_119
jackson_BCK,294,271,nc_house_of_representatives_district_119
jackson_CAN,122,94,nc_house_of_representatives_district_119
jackson_CAS,380,662,nc_house_of_representatives_district_119
jackson_CFK,167,99,nc_house_of_representatives_district_119
jackson_CUL,907,475,nc_house_of_representatives_district_119
jackson_DIL,316,200,nc_house_of_representatives_district_119
jackson_GCK,303,162,nc_house_of_representatives_district_119
jackson_GLV,222,391,nc_house_of_representatives_district_119
jackson_QUA,662,490,nc_house_of_representatives_district_119
jackson_RIV,221,144,nc_house_of_representatives_district_119
jackson_SAV,294,237,nc_house_of_representatives_district_119
jackson_SCC,456,279,nc_house_of_representatives_district_119
jackson_SNW,535,223,nc_house_of_representatives_district_119
jackson_SSW,877,360,nc_house_of_representatives_district_119
jackson_WEB,660,294,nc_house_of_representatives_district_119
jackson_CURBSIDE,44,26,nc_house_of_representatives_district_119
macon_01,121,84,nc_house_of_representatives_district_119
macon_04,165,180,nc_house_of_representatives_district_119
macon_06,149,178,nc_house_of_representatives_district_119
macon_15,234,247,nc_house_of_representatives_district_119
swain_ALARKA,273,213,nc_house_of_representatives_district_119
swain_ALMOND,352,321,nc_house_of_representatives_district_119
swain_BC1,654,453,nc_house_of_representatives_district_119
swain_BC2,672,488,nc_house_of_representatives_district_119
swain_WHCH,634,332,nc_house_of_representatives_district_119
