prec_id,Abraham Oudeh,David Lewis,election
harnett_PR01,475,990,nc_house_of_representatives_district_53
harnett_PR08,559,1179,nc_house_of_representatives_district_53
harnett_PR17,278,279,nc_house_of_representatives_district_53
harnett_PR20,472,330,nc_house_of_representatives_district_53
harnett_PR23,294,549,nc_house_of_representatives_district_53
harnett_PR24,474,1359,nc_house_of_representatives_district_53
harnett_PR25,554,689,nc_house_of_representatives_district_53
harnett_PR26,388,866,nc_house_of_representatives_district_53
harnett_PR27,272,720,nc_house_of_representatives_district_53
harnett_PR28,236,872,nc_house_of_representatives_district_53
harnett_PR29,403,1105,nc_house_of_representatives_district_53
