prec_id,Bob Atwater,Roger Gerber,election
chatham_3,213,373,nc_state_senate_district_18
chatham_6,114,262,nc_state_senate_district_18
chatham_9,200,324,nc_state_senate_district_18
chatham_15,321,164,nc_state_senate_district_18
chatham_18,387,432,nc_state_senate_district_18
chatham_20,277,390,nc_state_senate_district_18
chatham_21,242,244,nc_state_senate_district_18
chatham_24,58,262,nc_state_senate_district_18
chatham_30,181,206,nc_state_senate_district_18
chatham_42,204,288,nc_state_senate_district_18
chatham_45,181,190,nc_state_senate_district_18
chatham_73,341,126,nc_state_senate_district_18
chatham_75,435,507,nc_state_senate_district_18
chatham_78,482,340,nc_state_senate_district_18
chatham_85,239,237,nc_state_senate_district_18
chatham_NWM117,538,343,nc_state_senate_district_18
chatham_MCH110,694,317,nc_state_senate_district_18
chatham_ESC114,488,379,nc_state_senate_district_18
chatham_PIT113,771,514,nc_state_senate_district_18
durham_03,366,56,nc_state_senate_district_18
durham_04,467,112,nc_state_senate_district_18
durham_05,351,45,nc_state_senate_district_18
durham_06,336,71,nc_state_senate_district_18
durham_16,481,192,nc_state_senate_district_18
durham_27,679,381,nc_state_senate_district_18
durham_35-1,772,335,nc_state_senate_district_18
durham_35-2,755,321,nc_state_senate_district_18
durham_36,603,171,nc_state_senate_district_18
durham_38,972,384,nc_state_senate_district_18
durham_39,842,528,nc_state_senate_district_18
durham_43,1431,699,nc_state_senate_district_18
durham_48,458,195,nc_state_senate_district_18
durham_50,714,387,nc_state_senate_district_18
durham_51,1197,431,nc_state_senate_district_18
durham_53-1,524,289,nc_state_senate_district_18
durham_53-2,768,391,nc_state_senate_district_18
durham_54,1089,324,nc_state_senate_district_18
lee_A1,393,330,nc_state_senate_district_18
lee_A2,496,242,nc_state_senate_district_18
lee_B1,190,357,nc_state_senate_district_18
lee_B2,165,203,nc_state_senate_district_18
lee_C1,313,422,nc_state_senate_district_18
lee_C2,198,425,nc_state_senate_district_18
lee_D1,322,545,nc_state_senate_district_18
lee_D2,337,570,nc_state_senate_district_18
lee_E1,286,386,nc_state_senate_district_18
lee_E2,287,260,nc_state_senate_district_18
lee_CURBSIDE,0,0,nc_state_senate_district_18
