prec_id,Harris D. Blake,election
harnett_PR01,988,nc_state_senate_district_22
harnett_PR07,1073,nc_state_senate_district_22
harnett_PR08,1229,nc_state_senate_district_22
harnett_PR16,751,nc_state_senate_district_22
harnett_PR17,299,nc_state_senate_district_22
harnett_PR20,344,nc_state_senate_district_22
harnett_PR23,811,nc_state_senate_district_22
harnett_PR24,1428,nc_state_senate_district_22
harnett_PR25,685,nc_state_senate_district_22
harnett_PR26,903,nc_state_senate_district_22
harnett_PR27,733,nc_state_senate_district_22
harnett_PR28,1323,nc_state_senate_district_22
harnett_PR29,1096,nc_state_senate_district_22
moore_BEN,432,nc_state_senate_district_22
moore_CAM,375,nc_state_senate_district_22
moore_CAR,678,nc_state_senate_district_22
moore_DHR,403,nc_state_senate_district_22
moore_EAB,409,nc_state_senate_district_22
moore_EKWD,323,nc_state_senate_district_22
moore_EUR,995,nc_state_senate_district_22
moore_EWD,310,nc_state_senate_district_22
moore_LTR,560,nc_state_senate_district_22
moore_NSP,470,nc_state_senate_district_22
moore_PBF,436,nc_state_senate_district_22
moore_PDN,865,nc_state_senate_district_22
moore_PHA,1344,nc_state_senate_district_22
moore_PHB1,716,nc_state_senate_district_22
moore_PHB2,766,nc_state_senate_district_22
moore_PHC,1230,nc_state_senate_district_22
moore_RBN,247,nc_state_senate_district_22
moore_SLS,1349,nc_state_senate_district_22
moore_SSP,359,nc_state_senate_district_22
moore_TLT,74,nc_state_senate_district_22
moore_VSS,385,nc_state_senate_district_22
moore_WAB,641,nc_state_senate_district_22
moore_WEM,601,nc_state_senate_district_22
moore_WKWD,473,nc_state_senate_district_22
moore_WND,524,nc_state_senate_district_22
moore_CURBSIDE,0,nc_state_senate_district_22
