prec_id,Larry Kissell,Harold Johnson,Thomas Hill,Write-in,election
anson_ANS,348,154,23,0,us_house_of_representatives_district_8
anson_BURN,239,284,15,3,us_house_of_representatives_district_8
anson_GULL,291,152,6,2,us_house_of_representatives_district_8
anson_LILE,786,239,27,2,us_house_of_representatives_district_8
anson_MM,417,79,12,0,us_house_of_representatives_district_8
anson_PEAC,248,271,24,3,us_house_of_representatives_district_8
anson_POLK,234,143,15,1,us_house_of_representatives_district_8
anson_W1,713,194,20,1,us_house_of_representatives_district_8
anson_W2,471,157,9,2,us_house_of_representatives_district_8
anson_W3,636,315,13,2,us_house_of_representatives_district_8
anson_WS,71,45,0,0,us_house_of_representatives_district_8
cabarrus_43832,218,471,39,1,us_house_of_representatives_district_8
cabarrus_43834,376,577,18,1,us_house_of_representatives_district_8
cabarrus_43836,324,455,24,0,us_house_of_representatives_district_8
cabarrus_43837,284,481,25,0,us_house_of_representatives_district_8
cabarrus_43838,296,394,38,0,us_house_of_representatives_district_8
cabarrus_43839,112,235,13,0,us_house_of_representatives_district_8
cabarrus_43840,277,432,25,0,us_house_of_representatives_district_8
cabarrus_43862,303,473,33,2,us_house_of_representatives_district_8
cabarrus_43863,448,750,46,0,us_house_of_representatives_district_8
cabarrus_43864,506,890,46,2,us_house_of_representatives_district_8
cabarrus_43866,388,722,27,2,us_house_of_representatives_district_8
cabarrus_43867,385,336,22,2,us_house_of_representatives_district_8
cabarrus_43868,315,609,20,0,us_house_of_representatives_district_8
cabarrus_43922,343,377,21,1,us_house_of_representatives_district_8
cabarrus_43923,375,257,21,0,us_house_of_representatives_district_8
cabarrus_43924,438,428,41,2,us_house_of_representatives_district_8
cabarrus_43925,267,194,12,0,us_house_of_representatives_district_8
cabarrus_43926,153,190,18,1,us_house_of_representatives_district_8
cabarrus_43927,209,231,19,1,us_house_of_representatives_district_8
cabarrus_43928,191,395,13,0,us_house_of_representatives_district_8
cabarrus_43929,130,221,19,1,us_house_of_representatives_district_8
