prec_id,Johnathan Rhyne,election
lincoln_AS25,645,nc_house_of_representatives_district_97
lincoln_BC13,226,nc_house_of_representatives_district_97
lincoln_BS26,435,nc_house_of_representatives_district_97
lincoln_CF19,417,nc_house_of_representatives_district_97
lincoln_CR06,208,nc_house_of_representatives_district_97
lincoln_DN29,556,nc_house_of_representatives_district_97
lincoln_DV08,655,nc_house_of_representatives_district_97
lincoln_DW28,416,nc_house_of_representatives_district_97
lincoln_HG17,308,nc_house_of_representatives_district_97
lincoln_HV07,613,nc_house_of_representatives_district_97
lincoln_IS20,467,nc_house_of_representatives_district_97
lincoln_IS23,575,nc_house_of_representatives_district_97
lincoln_LI14,357,nc_house_of_representatives_district_97
lincoln_LM16,299,nc_house_of_representatives_district_97
lincoln_LN11,331,nc_house_of_representatives_district_97
lincoln_LS12,308,nc_house_of_representatives_district_97
lincoln_LS15,424,nc_house_of_representatives_district_97
lincoln_LW18,254,nc_house_of_representatives_district_97
lincoln_LW31,647,nc_house_of_representatives_district_97
lincoln_NB03,346,nc_house_of_representatives_district_97
lincoln_NB09,549,nc_house_of_representatives_district_97
lincoln_OB21,586,nc_house_of_representatives_district_97
lincoln_OG10,407,nc_house_of_representatives_district_97
lincoln_PC22,629,nc_house_of_representatives_district_97
lincoln_SL24,477,nc_house_of_representatives_district_97
lincoln_TE27,450,nc_house_of_representatives_district_97
lincoln_TR30,233,nc_house_of_representatives_district_97
lincoln_WP32,930,nc_house_of_representatives_district_97
