prec_id,Jim Leutze,Thom Goolsby,election
new hanover_CF01,719,826,nc_state_senate_district_9
new hanover_CF02,376,825,nc_state_senate_district_9
new hanover_CF05,365,691,nc_state_senate_district_9
new hanover_CF06,399,756,nc_state_senate_district_9
new hanover_FP02,412,692,nc_state_senate_district_9
new hanover_FP03,309,549,nc_state_senate_district_9
new hanover_FP04,583,1138,nc_state_senate_district_9
new hanover_FP05,285,603,nc_state_senate_district_9
new hanover_FP06,452,963,nc_state_senate_district_9
new hanover_FP07,553,1238,nc_state_senate_district_9
new hanover_H01,299,403,nc_state_senate_district_9
new hanover_H02,504,1139,nc_state_senate_district_9
new hanover_H03,865,1478,nc_state_senate_district_9
new hanover_H04,579,901,nc_state_senate_district_9
new hanover_H05,569,1017,nc_state_senate_district_9
new hanover_H06,434,772,nc_state_senate_district_9
new hanover_H08,930,1710,nc_state_senate_district_9
new hanover_H09,1149,2324,nc_state_senate_district_9
new hanover_H10,658,693,nc_state_senate_district_9
new hanover_H11,653,1367,nc_state_senate_district_9
new hanover_M02,1095,1885,nc_state_senate_district_9
new hanover_M03,374,910,nc_state_senate_district_9
new hanover_M04,1006,1760,nc_state_senate_district_9
new hanover_M06,484,1002,nc_state_senate_district_9
new hanover_M07,368,578,nc_state_senate_district_9
new hanover_W03,632,121,nc_state_senate_district_9
new hanover_W08,339,297,nc_state_senate_district_9
new hanover_W12,494,374,nc_state_senate_district_9
new hanover_W13,289,170,nc_state_senate_district_9
new hanover_W15,933,232,nc_state_senate_district_9
new hanover_W16,618,900,nc_state_senate_district_9
new hanover_W17,584,660,nc_state_senate_district_9
new hanover_W18,289,335,nc_state_senate_district_9
new hanover_W21,635,907,nc_state_senate_district_9
new hanover_W24,362,354,nc_state_senate_district_9
new hanover_W25,978,247,nc_state_senate_district_9
new hanover_W26,499,394,nc_state_senate_district_9
new hanover_W27,961,332,nc_state_senate_district_9
new hanover_W28,492,462,nc_state_senate_district_9
new hanover_W29,1215,86,nc_state_senate_district_9
new hanover_W30,679,764,nc_state_senate_district_9
new hanover_W31,869,1049,nc_state_senate_district_9
new hanover_WB,403,595,nc_state_senate_district_9
