prec_id,Lorene T. Coates,Harry Warren,election
rowan_04,238,770,nc_house_of_representatives_district_77
rowan_07,250,292,nc_house_of_representatives_district_77
rowan_08,313,598,nc_house_of_representatives_district_77
rowan_11,320,462,nc_house_of_representatives_district_77
rowan_12,213,223,nc_house_of_representatives_district_77
rowan_18,255,6,nc_house_of_representatives_district_77
rowan_21,290,458,nc_house_of_representatives_district_77
rowan_24,152,305,nc_house_of_representatives_district_77
rowan_27,181,257,nc_house_of_representatives_district_77
rowan_28,336,230,nc_house_of_representatives_district_77
rowan_29,130,228,nc_house_of_representatives_district_77
rowan_30,44,62,nc_house_of_representatives_district_77
rowan_32,213,314,nc_house_of_representatives_district_77
rowan_34,361,301,nc_house_of_representatives_district_77
rowan_35,179,96,nc_house_of_representatives_district_77
rowan_36,397,214,nc_house_of_representatives_district_77
rowan_38,428,188,nc_house_of_representatives_district_77
rowan_39,213,226,nc_house_of_representatives_district_77
rowan_40,369,358,nc_house_of_representatives_district_77
rowan_41,337,297,nc_house_of_representatives_district_77
rowan_42,273,4,nc_house_of_representatives_district_77
rowan_45,215,143,nc_house_of_representatives_district_77
