prec_id,Larry D. Hall,election
durham_07,402,nc_house_of_representatives_district_29
durham_08,484,nc_house_of_representatives_district_29
durham_09,770,nc_house_of_representatives_district_29
durham_10,244,nc_house_of_representatives_district_29
durham_12,173,nc_house_of_representatives_district_29
durham_13,226,nc_house_of_representatives_district_29
durham_16,500,nc_house_of_representatives_district_29
durham_17,521,nc_house_of_representatives_district_29
durham_27,735,nc_house_of_representatives_district_29
durham_38,1053,nc_house_of_representatives_district_29
durham_39,890,nc_house_of_representatives_district_29
durham_40,423,nc_house_of_representatives_district_29
durham_41,557,nc_house_of_representatives_district_29
durham_42,454,nc_house_of_representatives_district_29
durham_48,494,nc_house_of_representatives_district_29
durham_51,1278,nc_house_of_representatives_district_29
durham_53-1,578,nc_house_of_representatives_district_29
durham_53-2,826,nc_house_of_representatives_district_29
durham_54,680,nc_house_of_representatives_district_29
durham_55-11,514,nc_house_of_representatives_district_29
durham_55-49,566,nc_house_of_representatives_district_29
