prec_id,Leo Daughtry,election
johnston_PR05,328,nc_house_of_representatives_district_26
johnston_PR06,552,nc_house_of_representatives_district_26
johnston_PR09,879,nc_house_of_representatives_district_26
johnston_PR10A,322,nc_house_of_representatives_district_26
johnston_PR10B,417,nc_house_of_representatives_district_26
johnston_PR11A,489,nc_house_of_representatives_district_26
johnston_PR11B,719,nc_house_of_representatives_district_26
johnston_PR19,529,nc_house_of_representatives_district_26
johnston_PR20,694,nc_house_of_representatives_district_26
johnston_PR21,696,nc_house_of_representatives_district_26
johnston_PR22,769,nc_house_of_representatives_district_26
johnston_PR24,317,nc_house_of_representatives_district_26
johnston_PR25,406,nc_house_of_representatives_district_26
johnston_PR26,92,nc_house_of_representatives_district_26
johnston_PR27A,303,nc_house_of_representatives_district_26
johnston_PR27B,346,nc_house_of_representatives_district_26
johnston_PR28,429,nc_house_of_representatives_district_26
johnston_PR29A,997,nc_house_of_representatives_district_26
johnston_PR29B,1199,nc_house_of_representatives_district_26
johnston_PR30,626,nc_house_of_representatives_district_26
johnston_PR32,654,nc_house_of_representatives_district_26
johnston_PR34,776,nc_house_of_representatives_district_26
