prec_id,W.A. (Winkie) Wilkins,election
durham_20,485,nc_house_of_representatives_district_55
durham_21,498,nc_house_of_representatives_district_55
durham_22,976,nc_house_of_representatives_district_55
durham_23,1232,nc_house_of_representatives_district_55
durham_25,490,nc_house_of_representatives_district_55
durham_26,350,nc_house_of_representatives_district_55
durham_28,663,nc_house_of_representatives_district_55
durham_45,362,nc_house_of_representatives_district_55
person_ALVI,616,nc_house_of_representatives_district_55
person_BFRK,428,nc_house_of_representatives_district_55
person_CUCL,582,nc_house_of_representatives_district_55
person_FLRI,1250,nc_house_of_representatives_district_55
person_HLWY,294,nc_house_of_representatives_district_55
person_HUML,267,nc_house_of_representatives_district_55
person_MTTZ,655,nc_house_of_representatives_district_55
person_OLHI,565,nc_house_of_representatives_district_55
person_ROX1,716,nc_house_of_representatives_district_55
person_ROX2,679,nc_house_of_representatives_district_55
person_ROX3,633,nc_house_of_representatives_district_55
person_ROX4,517,nc_house_of_representatives_district_55
person_RX1A,807,nc_house_of_representatives_district_55
person_WDSD,329,nc_house_of_representatives_district_55
