prec_id,Chuck McGrady,election
henderson_BC,236,nc_house_of_representatives_district_117
henderson_BK,195,nc_house_of_representatives_district_117
henderson_CC,839,nc_house_of_representatives_district_117
henderson_CV,266,nc_house_of_representatives_district_117
henderson_ED,722,nc_house_of_representatives_district_117
henderson_EV,945,nc_house_of_representatives_district_117
henderson_FL,1161,nc_house_of_representatives_district_117
henderson_GM,423,nc_house_of_representatives_district_117
henderson_HC,985,nc_house_of_representatives_district_117
henderson_HS,947,nc_house_of_representatives_district_117
henderson_HV-1,831,nc_house_of_representatives_district_117
henderson_HV-2,468,nc_house_of_representatives_district_117
henderson_HV-3,682,nc_house_of_representatives_district_117
henderson_LJ,857,nc_house_of_representatives_district_117
henderson_LP,733,nc_house_of_representatives_district_117
henderson_MG,313,nc_house_of_representatives_district_117
henderson_NB,1023,nc_house_of_representatives_district_117
henderson_NE,508,nc_house_of_representatives_district_117
henderson_NM,929,nc_house_of_representatives_district_117
henderson_NW,629,nc_house_of_representatives_district_117
henderson_PR,814,nc_house_of_representatives_district_117
henderson_PV,767,nc_house_of_representatives_district_117
henderson_RG,850,nc_house_of_representatives_district_117
henderson_SB,854,nc_house_of_representatives_district_117
henderson_SE,313,nc_house_of_representatives_district_117
henderson_SM,1220,nc_house_of_representatives_district_117
henderson_SW,887,nc_house_of_representatives_district_117
henderson_CURBSIDE,206,nc_house_of_representatives_district_117
