prec_id,Mike McIntyre,Ilario Gregory Pantano,election
new hanover_H01,371,329,us_house_of_representatives_district_7
new hanover_H02,577,1068,us_house_of_representatives_district_7
new hanover_H03,1049,1307,us_house_of_representatives_district_7
new hanover_H04,738,752,us_house_of_representatives_district_7
new hanover_H05,733,859,us_house_of_representatives_district_7
new hanover_H06,606,608,us_house_of_representatives_district_7
new hanover_H08,1140,1503,us_house_of_representatives_district_7
new hanover_H09,1392,2092,us_house_of_representatives_district_7
new hanover_H10,749,603,us_house_of_representatives_district_7
new hanover_H11,875,1151,us_house_of_representatives_district_7
new hanover_M02,1373,1621,us_house_of_representatives_district_7
new hanover_M03,548,739,us_house_of_representatives_district_7
new hanover_M04,1252,1519,us_house_of_representatives_district_7
new hanover_M06,643,848,us_house_of_representatives_district_7
new hanover_M07,466,484,us_house_of_representatives_district_7
new hanover_W03,671,88,us_house_of_representatives_district_7
new hanover_W08,415,220,us_house_of_representatives_district_7
new hanover_W12,537,332,us_house_of_representatives_district_7
new hanover_W13,325,140,us_house_of_representatives_district_7
new hanover_W15,958,210,us_house_of_representatives_district_7
new hanover_W16,779,748,us_house_of_representatives_district_7
new hanover_W17,687,556,us_house_of_representatives_district_7
new hanover_W18,345,280,us_house_of_representatives_district_7
new hanover_W21,770,777,us_house_of_representatives_district_7
new hanover_W24,415,302,us_house_of_representatives_district_7
new hanover_W25,1028,207,us_house_of_representatives_district_7
new hanover_W26,564,329,us_house_of_representatives_district_7
new hanover_W27,1048,256,us_house_of_representatives_district_7
new hanover_W28,569,387,us_house_of_representatives_district_7
new hanover_W29,1245,57,us_house_of_representatives_district_7
new hanover_W30,843,608,us_house_of_representatives_district_7
new hanover_W31,957,970,us_house_of_representatives_district_7
new hanover_WB,438,567,us_house_of_representatives_district_7
pender_NB01,479,365,us_house_of_representatives_district_7
pender_SB02,787,599,us_house_of_representatives_district_7
pender_CT03,91,37,us_house_of_representatives_district_7
pender_CS04,258,213,us_house_of_representatives_district_7
pender_CL05,474,195,us_house_of_representatives_district_7
pender_GR06,627,391,us_house_of_representatives_district_7
pender_MH07,51,121,us_house_of_representatives_district_7
pender_UH08,333,75,us_house_of_representatives_district_7
pender_LC09,335,360,us_house_of_representatives_district_7
pender_PL10,105,126,us_house_of_representatives_district_7
pender_CF11,416,640,us_house_of_representatives_district_7
pender_SH12,303,571,us_house_of_representatives_district_7
pender_SC13,570,732,us_house_of_representatives_district_7
pender_UT14,517,1028,us_house_of_representatives_district_7
pender_SP15,436,717,us_house_of_representatives_district_7
pender_LU16,202,298,us_house_of_representatives_district_7
pender_UU17,283,191,us_house_of_representatives_district_7
pender_LT18,461,854,us_house_of_representatives_district_7
pender_MT19,549,829,us_house_of_representatives_district_7
pender_RP20,416,306,us_house_of_representatives_district_7
pender_CURBSIDE,61,20,us_house_of_representatives_district_7
robeson_01,193,52,us_house_of_representatives_district_7
robeson_02,389,49,us_house_of_representatives_district_7
robeson_03,243,193,us_house_of_representatives_district_7
robeson_04,442,87,us_house_of_representatives_district_7
robeson_05,658,168,us_house_of_representatives_district_7
robeson_06,253,29,us_house_of_representatives_district_7
robeson_07,193,50,us_house_of_representatives_district_7
robeson_08,238,228,us_house_of_representatives_district_7
robeson_09,253,108,us_house_of_representatives_district_7
robeson_10,202,116,us_house_of_representatives_district_7
robeson_11,770,575,us_house_of_representatives_district_7
robeson_11A,230,69,us_house_of_representatives_district_7
robeson_12,296,99,us_house_of_representatives_district_7
robeson_13,310,140,us_house_of_representatives_district_7
robeson_14,173,64,us_house_of_representatives_district_7
robeson_15,201,29,us_house_of_representatives_district_7
robeson_16,239,15,us_house_of_representatives_district_7
robeson_17,80,30,us_house_of_representatives_district_7
robeson_18A,374,198,us_house_of_representatives_district_7
robeson_19,719,82,us_house_of_representatives_district_7
robeson_20,244,122,us_house_of_representatives_district_7
robeson_21,372,242,us_house_of_representatives_district_7
robeson_22,511,104,us_house_of_representatives_district_7
robeson_23,671,158,us_house_of_representatives_district_7
robeson_24,187,55,us_house_of_representatives_district_7
robeson_25,233,63,us_house_of_representatives_district_7
robeson_26,585,90,us_house_of_representatives_district_7
robeson_27,264,115,us_house_of_representatives_district_7
robeson_28,188,61,us_house_of_representatives_district_7
robeson_29,492,80,us_house_of_representatives_district_7
robeson_30,428,92,us_house_of_representatives_district_7
robeson_31,478,275,us_house_of_representatives_district_7
robeson_32,383,217,us_house_of_representatives_district_7
robeson_33,99,45,us_house_of_representatives_district_7
robeson_34,200,58,us_house_of_representatives_district_7
robeson_35,458,84,us_house_of_representatives_district_7
robeson_36,156,84,us_house_of_representatives_district_7
robeson_37,121,119,us_house_of_representatives_district_7
robeson_38,90,38,us_house_of_representatives_district_7
robeson_39,357,59,us_house_of_representatives_district_7
robeson_40,171,35,us_house_of_representatives_district_7
robeson_41,437,335,us_house_of_representatives_district_7
robeson_CURBSIDE,0,0,us_house_of_representatives_district_7
sampson_AUTR,157,325,us_house_of_representatives_district_7
sampson_CLEM,195,308,us_house_of_representatives_district_7
sampson_CLNE,198,221,us_house_of_representatives_district_7
sampson_CLWE,188,258,us_house_of_representatives_district_7
sampson_HERR,85,258,us_house_of_representatives_district_7
sampson_KFRK,281,235,us_house_of_representatives_district_7
sampson_LAKE,0,0,us_house_of_representatives_district_7
sampson_MING,319,588,us_house_of_representatives_district_7
sampson_PLVW,231,677,us_house_of_representatives_district_7
sampson_ROSE,174,161,us_house_of_representatives_district_7
sampson_SBRG,148,218,us_house_of_representatives_district_7
sampson_WBRK,185,268,us_house_of_representatives_district_7
sampson_CURBSIDE,0,0,us_house_of_representatives_district_7
scotland_2,16,5,us_house_of_representatives_district_7
scotland_6,5,0,us_house_of_representatives_district_7
