prec_id,Michael Walters,election
hoke_01,90,nc_state_senate_district_13
hoke_02,423,nc_state_senate_district_13
hoke_03,236,nc_state_senate_district_13
hoke_04,182,nc_state_senate_district_13
hoke_05,291,nc_state_senate_district_13
hoke_06A,770,nc_state_senate_district_13
hoke_12,506,nc_state_senate_district_13
hoke_13,243,nc_state_senate_district_13
hoke_14,537,nc_state_senate_district_13
hoke_61,475,nc_state_senate_district_13
hoke_62,234,nc_state_senate_district_13
hoke_63,638,nc_state_senate_district_13
hoke_64,446,nc_state_senate_district_13
hoke_65,362,nc_state_senate_district_13
robeson_01,177,nc_state_senate_district_13
robeson_02,365,nc_state_senate_district_13
robeson_03,326,nc_state_senate_district_13
robeson_04,383,nc_state_senate_district_13
robeson_05,713,nc_state_senate_district_13
robeson_06,263,nc_state_senate_district_13
robeson_07,198,nc_state_senate_district_13
robeson_08,313,nc_state_senate_district_13
robeson_09,259,nc_state_senate_district_13
robeson_10,216,nc_state_senate_district_13
robeson_11,951,nc_state_senate_district_13
robeson_11A,218,nc_state_senate_district_13
robeson_12,295,nc_state_senate_district_13
robeson_13,351,nc_state_senate_district_13
robeson_14,158,nc_state_senate_district_13
robeson_15,215,nc_state_senate_district_13
robeson_16,239,nc_state_senate_district_13
robeson_17,80,nc_state_senate_district_13
robeson_18A,428,nc_state_senate_district_13
robeson_19,676,nc_state_senate_district_13
robeson_20,326,nc_state_senate_district_13
robeson_21,364,nc_state_senate_district_13
robeson_22,440,nc_state_senate_district_13
robeson_23,589,nc_state_senate_district_13
robeson_24,167,nc_state_senate_district_13
robeson_25,217,nc_state_senate_district_13
robeson_26,553,nc_state_senate_district_13
robeson_27,250,nc_state_senate_district_13
robeson_28,166,nc_state_senate_district_13
robeson_29,474,nc_state_senate_district_13
robeson_30,376,nc_state_senate_district_13
robeson_31,458,nc_state_senate_district_13
robeson_32,374,nc_state_senate_district_13
robeson_33,103,nc_state_senate_district_13
robeson_34,183,nc_state_senate_district_13
robeson_35,373,nc_state_senate_district_13
robeson_36,179,nc_state_senate_district_13
robeson_37,179,nc_state_senate_district_13
robeson_38,93,nc_state_senate_district_13
robeson_39,328,nc_state_senate_district_13
robeson_40,171,nc_state_senate_district_13
robeson_41,509,nc_state_senate_district_13
robeson_CURBSIDE,0,nc_state_senate_district_13
