prec_id,Mike Helms,"Fletcher L. Hartsell, Jr.",election
cabarrus_43832,169,541,nc_state_senate_district_36
cabarrus_43834,340,622,nc_state_senate_district_36
cabarrus_43836,262,521,nc_state_senate_district_36
cabarrus_43837,215,561,nc_state_senate_district_36
cabarrus_43838,254,462,nc_state_senate_district_36
cabarrus_43839,74,277,nc_state_senate_district_36
cabarrus_43840,228,490,nc_state_senate_district_36
cabarrus_43862,246,556,nc_state_senate_district_36
cabarrus_43863,371,861,nc_state_senate_district_36
cabarrus_43864,426,1000,nc_state_senate_district_36
cabarrus_43866,311,817,nc_state_senate_district_36
cabarrus_43867,329,405,nc_state_senate_district_36
cabarrus_43868,208,724,nc_state_senate_district_36
cabarrus_43869,529,781,nc_state_senate_district_36
cabarrus_43870,542,738,nc_state_senate_district_36
cabarrus_36586,339,747,nc_state_senate_district_36
cabarrus_43922,285,454,nc_state_senate_district_36
cabarrus_43923,316,334,nc_state_senate_district_36
cabarrus_43924,362,534,nc_state_senate_district_36
cabarrus_43925,213,256,nc_state_senate_district_36
cabarrus_43926,128,234,nc_state_senate_district_36
cabarrus_43927,177,279,nc_state_senate_district_36
cabarrus_43928,120,479,nc_state_senate_district_36
cabarrus_43929,96,270,nc_state_senate_district_36
cabarrus_43930,242,485,nc_state_senate_district_36
cabarrus_43931,266,664,nc_state_senate_district_36
cabarrus_36647,128,572,nc_state_senate_district_36
cabarrus_36678,142,640,nc_state_senate_district_36
cabarrus_36708,76,335,nc_state_senate_district_36
cabarrus_36739,253,1025,nc_state_senate_district_36
cabarrus_36770,147,609,nc_state_senate_district_36
cabarrus_36800,352,1170,nc_state_senate_district_36
cabarrus_44136,386,608,nc_state_senate_district_36
cabarrus_44137,174,624,nc_state_senate_district_36
cabarrus_44166,93,108,nc_state_senate_district_36
cabarrus_44167,256,169,nc_state_senate_district_36
cabarrus_44168,154,453,nc_state_senate_district_36
cabarrus_44169,186,347,nc_state_senate_district_36
cabarrus_44170,162,511,nc_state_senate_district_36
cabarrus_44171,173,292,nc_state_senate_district_36
cabarrus_44172,316,36,nc_state_senate_district_36
cabarrus_44173,128,186,nc_state_senate_district_36
cabarrus_44174,140,458,nc_state_senate_district_36
cabarrus_44175,83,331,nc_state_senate_district_36
cabarrus_44176,111,308,nc_state_senate_district_36
cabarrus_44177,193,361,nc_state_senate_district_36
iredell_CC1,367,903,nc_state_senate_district_36
iredell_CC2,483,837,nc_state_senate_district_36
iredell_CC3,475,1135,nc_state_senate_district_36
iredell_CC4,137,415,nc_state_senate_district_36
