prec_id,Beth Ostgaard,Mitch Gillespie,election
burke_0012,115,527,nc_house_of_representatives_district_85
burke_0013,170,780,nc_house_of_representatives_district_85
burke_0014,125,587,nc_house_of_representatives_district_85
burke_0015,128,400,nc_house_of_representatives_district_85
burke_0029-A,81,303,nc_house_of_representatives_district_85
burke_0029-B,131,264,nc_house_of_representatives_district_85
burke_0052,202,246,nc_house_of_representatives_district_85
burke_0053,270,528,nc_house_of_representatives_district_85
burke_0064,94,217,nc_house_of_representatives_district_85
burke_0065,131,272,nc_house_of_representatives_district_85
mcdowell_CCREEK,310,737,nc_house_of_representatives_district_85
mcdowell_DYSART,269,486,nc_house_of_representatives_district_85
mcdowell_FORT 1,205,421,nc_house_of_representatives_district_85
mcdowell_FORT 2,152,295,nc_house_of_representatives_district_85
mcdowell_GLENWD,217,534,nc_house_of_representatives_district_85
mcdowell_HIGGIN,197,325,nc_house_of_representatives_district_85
mcdowell_M.COVE,185,532,nc_house_of_representatives_district_85
mcdowell_MAR 1,448,837,nc_house_of_representatives_district_85
mcdowell_MAR 2,333,333,nc_house_of_representatives_district_85
mcdowell_MAR 3,129,225,nc_house_of_representatives_district_85
mcdowell_MAR 4,135,217,nc_house_of_representatives_district_85
mcdowell_MAR 5,111,217,nc_house_of_representatives_district_85
mcdowell_N.COVE,124,250,nc_house_of_representatives_district_85
mcdowell_NEBO,395,805,nc_house_of_representatives_district_85
mcdowell_PLEASA,306,770,nc_house_of_representatives_district_85
mcdowell_T.COVE,98,269,nc_house_of_representatives_district_85
mcdowell_WEST M,471,904,nc_house_of_representatives_district_85
