prec_id,Billy Kennedy,Virginia Foxx,election
alexander_B1,191,891,us_house_of_representatives_district_5
alexander_B2,256,842,us_house_of_representatives_district_5
alexander_E,191,469,us_house_of_representatives_district_5
alexander_G1,69,171,us_house_of_representatives_district_5
alexander_G2,141,210,us_house_of_representatives_district_5
alexander_L,86,271,us_house_of_representatives_district_5
alexander_M,180,332,us_house_of_representatives_district_5
alexander_S1,174,369,us_house_of_representatives_district_5
alexander_S2,134,189,us_house_of_representatives_district_5
alexander_SL,58,250,us_house_of_representatives_district_5
alexander_T1,72,225,us_house_of_representatives_district_5
alexander_T2,109,223,us_house_of_representatives_district_5
alexander_T3,99,203,us_house_of_representatives_district_5
alexander_T4,108,207,us_house_of_representatives_district_5
alexander_T5,69,186,us_house_of_representatives_district_5
alexander_W,132,394,us_house_of_representatives_district_5
alleghany_01,186,416,us_house_of_representatives_district_5
alleghany_02,38,114,us_house_of_representatives_district_5
alleghany_03,650,891,us_house_of_representatives_district_5
alleghany_04,227,475,us_house_of_representatives_district_5
alleghany_05,126,181,us_house_of_representatives_district_5
alleghany_06,123,221,us_house_of_representatives_district_5
alleghany_07,113,249,us_house_of_representatives_district_5
alleghany_CURBSIDE,0,0,us_house_of_representatives_district_5
ashe_02,171,272,us_house_of_representatives_district_5
ashe_03,48,151,us_house_of_representatives_district_5
ashe_04,59,82,us_house_of_representatives_district_5
ashe_06,69,114,us_house_of_representatives_district_5
ashe_07,77,80,us_house_of_representatives_district_5
ashe_08,29,34,us_house_of_representatives_district_5
ashe_09,327,514,us_house_of_representatives_district_5
ashe_10,34,61,us_house_of_representatives_district_5
ashe_11,291,359,us_house_of_representatives_district_5
ashe_12,74,178,us_house_of_representatives_district_5
ashe_13,144,220,us_house_of_representatives_district_5
ashe_14,163,418,us_house_of_representatives_district_5
ashe_15,73,189,us_house_of_representatives_district_5
ashe_16,210,361,us_house_of_representatives_district_5
ashe_17,83,214,us_house_of_representatives_district_5
ashe_18,18,46,us_house_of_representatives_district_5
ashe_20,337,530,us_house_of_representatives_district_5
davie_01,152,376,us_house_of_representatives_district_5
davie_02,125,349,us_house_of_representatives_district_5
davie_03,254,884,us_house_of_representatives_district_5
davie_04,195,456,us_house_of_representatives_district_5
davie_05,216,936,us_house_of_representatives_district_5
davie_06,189,571,us_house_of_representatives_district_5
davie_07,193,594,us_house_of_representatives_district_5
davie_08,337,425,us_house_of_representatives_district_5
davie_09,361,645,us_house_of_representatives_district_5
davie_10,267,883,us_house_of_representatives_district_5
davie_11,123,624,us_house_of_representatives_district_5
davie_12,404,1316,us_house_of_representatives_district_5
davie_13,421,1181,us_house_of_representatives_district_5
davie_14,268,709,us_house_of_representatives_district_5
davie_CURBSIDE,23,40,us_house_of_representatives_district_5
forsyth_011,601,1154,us_house_of_representatives_district_5
forsyth_012,225,875,us_house_of_representatives_district_5
forsyth_013,548,931,us_house_of_representatives_district_5
forsyth_014,199,653,us_house_of_representatives_district_5
forsyth_015,208,525,us_house_of_representatives_district_5
forsyth_021,328,1095,us_house_of_representatives_district_5
forsyth_031,328,523,us_house_of_representatives_district_5
forsyth_032,387,728,us_house_of_representatives_district_5
forsyth_034,297,599,us_house_of_representatives_district_5
forsyth_051,363,886,us_house_of_representatives_district_5
forsyth_052,229,450,us_house_of_representatives_district_5
forsyth_053,223,687,us_house_of_representatives_district_5
forsyth_054,429,977,us_house_of_representatives_district_5
forsyth_055,453,1048,us_house_of_representatives_district_5
forsyth_061,247,512,us_house_of_representatives_district_5
forsyth_062,290,665,us_house_of_representatives_district_5
forsyth_063,417,1212,us_house_of_representatives_district_5
forsyth_064,158,342,us_house_of_representatives_district_5
forsyth_065,463,1251,us_house_of_representatives_district_5
forsyth_066,187,666,us_house_of_representatives_district_5
forsyth_067,228,403,us_house_of_representatives_district_5
forsyth_068,303,787,us_house_of_representatives_district_5
