prec_id,Sam Turner,Howard Coble,election
alamance_01,221,1153,us_house_of_representatives_district_6
alamance_02,218,1427,us_house_of_representatives_district_6
alamance_035,276,918,us_house_of_representatives_district_6
alamance_03C,291,1108,us_house_of_representatives_district_6
alamance_03N,403,1040,us_house_of_representatives_district_6
alamance_03N2,214,222,us_house_of_representatives_district_6
alamance_03S,568,1389,us_house_of_representatives_district_6
alamance_03W,224,781,us_house_of_representatives_district_6
alamance_04,310,1391,us_house_of_representatives_district_6
alamance_05,172,951,us_house_of_representatives_district_6
alamance_064,546,1281,us_house_of_representatives_district_6
alamance_06E,316,537,us_house_of_representatives_district_6
alamance_06S,325,836,us_house_of_representatives_district_6
alamance_06W,114,248,us_house_of_representatives_district_6
alamance_07,226,1089,us_house_of_representatives_district_6
alamance_08N,339,773,us_house_of_representatives_district_6
alamance_08S,145,459,us_house_of_representatives_district_6
alamance_09N,299,595,us_house_of_representatives_district_6
alamance_09S,495,971,us_house_of_representatives_district_6
alamance_103,205,796,us_house_of_representatives_district_6
alamance_10N,487,1022,us_house_of_representatives_district_6
alamance_10S,905,1302,us_house_of_representatives_district_6
alamance_124,275,598,us_house_of_representatives_district_6
alamance_125,219,693,us_house_of_representatives_district_6
alamance_126,242,893,us_house_of_representatives_district_6
alamance_129,155,549,us_house_of_representatives_district_6
alamance_1210,203,391,us_house_of_representatives_district_6
alamance_12W,304,623,us_house_of_representatives_district_6
davidson_10,237,679,us_house_of_representatives_district_6
davidson_12,50,329,us_house_of_representatives_district_6
davidson_14,86,565,us_house_of_representatives_district_6
davidson_18,104,609,us_house_of_representatives_district_6
davidson_20,145,877,us_house_of_representatives_district_6
davidson_22,67,270,us_house_of_representatives_district_6
davidson_24,112,418,us_house_of_representatives_district_6
davidson_26,55,272,us_house_of_representatives_district_6
davidson_42,75,720,us_house_of_representatives_district_6
davidson_44,387,1380,us_house_of_representatives_district_6
davidson_46,185,835,us_house_of_representatives_district_6
davidson_52,329,1371,us_house_of_representatives_district_6
davidson_54,64,518,us_house_of_representatives_district_6
davidson_56,66,427,us_house_of_representatives_district_6
davidson_58,309,841,us_house_of_representatives_district_6
davidson_60,367,996,us_house_of_representatives_district_6
davidson_66,179,355,us_house_of_representatives_district_6
davidson_68,280,444,us_house_of_representatives_district_6
davidson_70,150,840,us_house_of_representatives_district_6
davidson_74,196,1209,us_house_of_representatives_district_6
davidson_76,150,1109,us_house_of_representatives_district_6
davidson_82,186,863,us_house_of_representatives_district_6
davidson_CURBSIDE,0,0,us_house_of_representatives_district_6
guilford_CG1,361,518,us_house_of_representatives_district_6
guilford_CG2,304,626,us_house_of_representatives_district_6
guilford_FEN2,207,795,us_house_of_representatives_district_6
guilford_FR1,554,605,us_house_of_representatives_district_6
guilford_FR2,346,757,us_house_of_representatives_district_6
guilford_FR3,214,484,us_house_of_representatives_district_6
guilford_FR4,181,536,us_house_of_representatives_district_6
guilford_FR5A,224,552,us_house_of_representatives_district_6
guilford_FR5B,158,406,us_house_of_representatives_district_6
guilford_G16,294,621,us_house_of_representatives_district_6
guilford_G18,167,584,us_house_of_representatives_district_6
guilford_G19,216,594,us_house_of_representatives_district_6
guilford_G20,369,849,us_house_of_representatives_district_6
guilford_G21,482,960,us_house_of_representatives_district_6
guilford_G22,258,740,us_house_of_representatives_district_6
guilford_G27,496,951,us_house_of_representatives_district_6
guilford_G30,268,585,us_house_of_representatives_district_6
guilford_G31,230,479,us_house_of_representatives_district_6
guilford_G32,473,1038,us_house_of_representatives_district_6
guilford_G33,295,783,us_house_of_representatives_district_6
guilford_G34,353,759,us_house_of_representatives_district_6
guilford_G35,250,461,us_house_of_representatives_district_6
guilford_G40A1,270,508,us_house_of_representatives_district_6
guilford_G40A2,201,320,us_house_of_representatives_district_6
guilford_G40B,166,512,us_house_of_representatives_district_6
guilford_G41A,219,353,us_house_of_representatives_district_6
guilford_G41B,256,535,us_house_of_representatives_district_6
guilford_G42A,347,704,us_house_of_representatives_district_6
guilford_G42B,143,225,us_house_of_representatives_district_6
guilford_G43,478,350,us_house_of_representatives_district_6
guilford_G63,306,376,us_house_of_representatives_district_6
guilford_G64,380,265,us_house_of_representatives_district_6
guilford_GIB,289,531,us_house_of_representatives_district_6
guilford_GR,142,866,us_house_of_representatives_district_6
guilford_H04,287,302,us_house_of_representatives_district_6
guilford_H14,113,741,us_house_of_representatives_district_6
guilford_H15,246,436,us_house_of_representatives_district_6
guilford_H16,138,431,us_house_of_representatives_district_6
guilford_H20A,181,321,us_house_of_representatives_district_6
guilford_H20B,129,414,us_house_of_representatives_district_6
guilford_H21,152,425,us_house_of_representatives_district_6
guilford_H22,112,331,us_house_of_representatives_district_6
guilford_H23,141,524,us_house_of_representatives_district_6
guilford_H24,298,753,us_house_of_representatives_district_6
guilford_H25,477,1253,us_house_of_representatives_district_6
guilford_H26,261,627,us_house_of_representatives_district_6
guilford_H27-A,322,660,us_house_of_representatives_district_6
guilford_H27-B,183,406,us_house_of_representatives_district_6
guilford_JAM4,217,874,us_house_of_representatives_district_6
guilford_JAM5,71,528,us_house_of_representatives_district_6
guilford_JEF1,354,733,us_house_of_representatives_district_6
guilford_JEF2,46,249,us_house_of_representatives_district_6
guilford_JEF4,258,499,us_house_of_representatives_district_6
guilford_MON1,405,404,us_house_of_representatives_district_6
guilford_MON3,462,1194,us_house_of_representatives_district_6
guilford_NCGR1,303,1080,us_house_of_representatives_district_6
guilford_NCGR2,156,638,us_house_of_representatives_district_6
guilford_NCLAY1,307,924,us_house_of_representatives_district_6
guilford_NCLAY2,132,499,us_house_of_representatives_district_6
guilford_NDRI,121,765,us_house_of_representatives_district_6
guilford_NWASH,62,496,us_house_of_representatives_district_6
guilford_OR1,292,1225,us_house_of_representatives_district_6
guilford_OR2,268,863,us_house_of_representatives_district_6
guilford_PG1,209,588,us_house_of_representatives_district_6
guilford_PG2,233,1097,us_house_of_representatives_district_6
guilford_RC1,502,718,us_house_of_representatives_district_6
guilford_RC2,488,797,us_house_of_representatives_district_6
guilford_SCLAY,136,782,us_house_of_representatives_district_6
guilford_SDRI,360,1306,us_house_of_representatives_district_6
guilford_SF1,278,1126,us_house_of_representatives_district_6
guilford_SF2,137,622,us_house_of_representatives_district_6
guilford_SF3,278,849,us_house_of_representatives_district_6
guilford_SF4,415,1164,us_house_of_representatives_district_6
guilford_SMAD,382,686,us_house_of_representatives_district_6
guilford_STOK,292,1239,us_house_of_representatives_district_6
guilford_SUM3,85,489,us_house_of_representatives_district_6
guilford_SUM4,117,813,us_house_of_representatives_district_6
guilford_SWASH,78,308,us_house_of_representatives_district_6
moore_BEN,194,424,us_house_of_representatives_district_6
moore_CAM,153,360,us_house_of_representatives_district_6
moore_CAR,363,649,us_house_of_representatives_district_6
moore_DHR,108,402,us_house_of_representatives_district_6
moore_EAB,251,389,us_house_of_representatives_district_6
moore_EKWD,115,317,us_house_of_representatives_district_6
moore_EUR,265,976,us_house_of_representatives_district_6
moore_EWD,128,303,us_house_of_representatives_district_6
moore_LTR,173,541,us_house_of_representatives_district_6
moore_NSP,236,452,us_house_of_representatives_district_6
moore_PBF,276,405,us_house_of_representatives_district_6
moore_PDN,385,824,us_house_of_representatives_district_6
moore_PHA,417,1272,us_house_of_representatives_district_6
moore_PHB1,295,684,us_house_of_representatives_district_6
moore_PHB2,190,733,us_house_of_representatives_district_6
moore_PHC,430,1170,us_house_of_representatives_district_6
moore_RBN,93,251,us_house_of_representatives_district_6
moore_SLS,423,1306,us_house_of_representatives_district_6
moore_SSP,568,335,us_house_of_representatives_district_6
moore_TLT,169,53,us_house_of_representatives_district_6
moore_VSS,172,365,us_house_of_representatives_district_6
moore_WAB,331,595,us_house_of_representatives_district_6
moore_WEM,133,585,us_house_of_representatives_district_6
moore_WKWD,158,463,us_house_of_representatives_district_6
moore_WND,282,505,us_house_of_representatives_district_6
moore_CURBSIDE,0,0,us_house_of_representatives_district_6
randolph_01,61,478,us_house_of_representatives_district_6
randolph_02,54,390,us_house_of_representatives_district_6
randolph_03,103,662,us_house_of_representatives_district_6
randolph_04,111,435,us_house_of_representatives_district_6
randolph_05,207,182,us_house_of_representatives_district_6
randolph_06,150,349,us_house_of_representatives_district_6
randolph_07,101,281,us_house_of_representatives_district_6
randolph_08,107,177,us_house_of_representatives_district_6
randolph_09,58,255,us_house_of_representatives_district_6
randolph_10,91,324,us_house_of_representatives_district_6
randolph_11,84,282,us_house_of_representatives_district_6
randolph_12,101,456,us_house_of_representatives_district_6
randolph_13,98,638,us_house_of_representatives_district_6
randolph_14,56,267,us_house_of_representatives_district_6
randolph_15,85,465,us_house_of_representatives_district_6
randolph_16,84,620,us_house_of_representatives_district_6
randolph_17,93,489,us_house_of_representatives_district_6
randolph_18,51,508,us_house_of_representatives_district_6
randolph_19,73,423,us_house_of_representatives_district_6
randolph_20,98,461,us_house_of_representatives_district_6
randolph_21,128,712,us_house_of_representatives_district_6
randolph_22,141,555,us_house_of_representatives_district_6
randolph_23,300,665,us_house_of_representatives_district_6
randolph_24,45,216,us_house_of_representatives_district_6
randolph_25,49,452,us_house_of_representatives_district_6
randolph_26,80,520,us_house_of_representatives_district_6
randolph_27,19,130,us_house_of_representatives_district_6
randolph_28,80,436,us_house_of_representatives_district_6
randolph_29,100,856,us_house_of_representatives_district_6
randolph_30,84,646,us_house_of_representatives_district_6
randolph_31,202,595,us_house_of_representatives_district_6
randolph_32,168,754,us_house_of_representatives_district_6
randolph_33,94,317,us_house_of_representatives_district_6
