prec_id,David Munday,Mark W. Hollo,election
alexander_B1,243,845,nc_house_of_representatives_district_88
alexander_B2,254,846,nc_house_of_representatives_district_88
alexander_E,217,452,nc_house_of_representatives_district_88
alexander_G1,78,165,nc_house_of_representatives_district_88
alexander_G2,167,188,nc_house_of_representatives_district_88
alexander_L,121,242,nc_house_of_representatives_district_88
alexander_M,185,327,nc_house_of_representatives_district_88
alexander_S1,216,329,nc_house_of_representatives_district_88
alexander_S2,159,170,nc_house_of_representatives_district_88
alexander_SL,86,223,nc_house_of_representatives_district_88
alexander_T1,84,215,nc_house_of_representatives_district_88
alexander_T2,163,174,nc_house_of_representatives_district_88
alexander_T3,125,187,nc_house_of_representatives_district_88
alexander_T4,135,190,nc_house_of_representatives_district_88
alexander_T5,89,171,nc_house_of_representatives_district_88
alexander_W,135,397,nc_house_of_representatives_district_88
catawba_11,152,235,nc_house_of_representatives_district_88
catawba_12,493,114,nc_house_of_representatives_district_88
catawba_13,231,186,nc_house_of_representatives_district_88
catawba_14,252,516,nc_house_of_representatives_district_88
catawba_15,293,5,nc_house_of_representatives_district_88
catawba_16,284,456,nc_house_of_representatives_district_88
catawba_26,277,573,nc_house_of_representatives_district_88
catawba_35,17,31,nc_house_of_representatives_district_88
catawba_36,271,763,nc_house_of_representatives_district_88
catawba_37,319,548,nc_house_of_representatives_district_88
catawba_38,348,905,nc_house_of_representatives_district_88
catawba_39,243,868,nc_house_of_representatives_district_88
catawba_CURBSIDE,21,22,nc_house_of_representatives_district_88
