prec_id,Bob Etheridge,Renee Ellmers,Tom Rose,election
nash_0003,200,210,4,us_house_of_representatives_district_2
nash_0005,331,474,18,us_house_of_representatives_district_2
nash_0006,209,451,16,us_house_of_representatives_district_2
nash_0007,399,138,6,us_house_of_representatives_district_2
nash_0008,207,336,8,us_house_of_representatives_district_2
nash_0011,611,386,11,us_house_of_representatives_district_2
nash_0012,120,218,2,us_house_of_representatives_district_2
nash_0015,737,742,20,us_house_of_representatives_district_2
nash_0021,251,73,2,us_house_of_representatives_district_2
nash_0022,243,176,6,us_house_of_representatives_district_2
nash_0038,469,290,7,us_house_of_representatives_district_2
nash_0040A,708,565,23,us_house_of_representatives_district_2
nash_0041,16,54,0,us_house_of_representatives_district_2
nash_0042,174,78,2,us_house_of_representatives_district_2
sampson_CLCE,238,26,1,us_house_of_representatives_district_2
sampson_CLEA,511,177,8,us_house_of_representatives_district_2
sampson_CLNE,78,35,0,us_house_of_representatives_district_2
sampson_CLSW,178,192,5,us_house_of_representatives_district_2
sampson_GARL,312,191,5,us_house_of_representatives_district_2
sampson_GIDD,224,147,6,us_house_of_representatives_district_2
sampson_HARR,393,129,4,us_house_of_representatives_district_2
sampson_INGO,173,133,1,us_house_of_representatives_district_2
sampson_KEEN,135,225,8,us_house_of_representatives_district_2
sampson_LAKE,588,170,9,us_house_of_representatives_district_2
sampson_NGRV,222,301,7,us_house_of_representatives_district_2
sampson_ROWA,238,267,6,us_house_of_representatives_district_2
sampson_TURK,253,148,10,us_house_of_representatives_district_2
sampson_CURBSIDE,0,0,0,us_house_of_representatives_district_2
vance_HTOP,301,114,6,us_house_of_representatives_district_2
vance_KITT,812,827,38,us_house_of_representatives_district_2
vance_NV,165,58,5,us_house_of_representatives_district_2
vance_SCRK,1020,648,40,us_house_of_representatives_district_2
vance_SH2,264,99,4,us_house_of_representatives_district_2
wake_43849,462,22,3,us_house_of_representatives_district_2
wake_43850,503,35,2,us_house_of_representatives_district_2
wake_43851,574,298,30,us_house_of_representatives_district_2
wake_43852,898,21,3,us_house_of_representatives_district_2
wake_43853,558,231,41,us_house_of_representatives_district_2
wake_43856,433,27,9,us_house_of_representatives_district_2
wake_12785,539,9,1,us_house_of_representatives_district_2
wake_18264,641,26,6,us_house_of_representatives_district_2
wake_16-01,273,423,24,us_house_of_representatives_district_2
wake_16-02,989,264,28,us_house_of_representatives_district_2
wake_16-03,298,258,20,us_house_of_representatives_district_2
wake_16-04,417,433,14,us_house_of_representatives_district_2
wake_16-05,420,489,19,us_house_of_representatives_district_2
wake_16-06,245,169,15,us_house_of_representatives_district_2
wake_16-07,667,674,35,us_house_of_representatives_district_2
wake_16-08,1490,329,39,us_house_of_representatives_district_2
wake_16-09,488,361,18,us_house_of_representatives_district_2
wake_18-01,755,388,43,us_house_of_representatives_district_2
wake_18-06,585,463,28,us_house_of_representatives_district_2
