prec_id,Steve Goss,Dan Soucek,election
alexander_B1,241,841,nc_state_senate_district_45
alexander_B2,265,824,nc_state_senate_district_45
alexander_E,222,433,nc_state_senate_district_45
alexander_G1,89,153,nc_state_senate_district_45
alexander_G2,156,189,nc_state_senate_district_45
alexander_L,106,252,nc_state_senate_district_45
alexander_M,189,318,nc_state_senate_district_45
alexander_S1,206,335,nc_state_senate_district_45
alexander_S2,152,172,nc_state_senate_district_45
alexander_SL,77,233,nc_state_senate_district_45
alexander_T1,79,216,nc_state_senate_district_45
alexander_T2,139,186,nc_state_senate_district_45
alexander_T3,124,178,nc_state_senate_district_45
alexander_T4,137,184,nc_state_senate_district_45
alexander_T5,71,183,nc_state_senate_district_45
alexander_W,159,361,nc_state_senate_district_45
ashe_02,231,217,nc_state_senate_district_45
ashe_03,58,143,nc_state_senate_district_45
ashe_04,68,75,nc_state_senate_district_45
ashe_06,107,75,nc_state_senate_district_45
ashe_07,92,64,nc_state_senate_district_45
ashe_08,35,28,nc_state_senate_district_45
ashe_09,507,336,nc_state_senate_district_45
ashe_10,36,59,nc_state_senate_district_45
ashe_11,390,266,nc_state_senate_district_45
ashe_12,85,171,nc_state_senate_district_45
ashe_13,180,188,nc_state_senate_district_45
ashe_14,254,330,nc_state_senate_district_45
ashe_15,120,141,nc_state_senate_district_45
ashe_16,238,340,nc_state_senate_district_45
ashe_17,145,157,nc_state_senate_district_45
ashe_18,25,42,nc_state_senate_district_45
ashe_20,471,406,nc_state_senate_district_45
watauga_01,63,85,nc_state_senate_district_45
watauga_02,132,217,nc_state_senate_district_45
watauga_03,353,422,nc_state_senate_district_45
watauga_04,274,456,nc_state_senate_district_45
watauga_05,170,61,nc_state_senate_district_45
watauga_06,121,127,nc_state_senate_district_45
watauga_07,272,285,nc_state_senate_district_45
watauga_08,244,425,nc_state_senate_district_45
watauga_09,76,90,nc_state_senate_district_45
watauga_10,135,196,nc_state_senate_district_45
watauga_11,251,424,nc_state_senate_district_45
watauga_12,90,47,nc_state_senate_district_45
watauga_13,140,118,nc_state_senate_district_45
watauga_14,216,293,nc_state_senate_district_45
watauga_15,322,354,nc_state_senate_district_45
watauga_16,13,47,nc_state_senate_district_45
watauga_17,89,126,nc_state_senate_district_45
watauga_18,197,466,nc_state_senate_district_45
watauga_19,270,467,nc_state_senate_district_45
watauga_20,55,90,nc_state_senate_district_45
wilkes_101,88,160,nc_state_senate_district_45
wilkes_102,153,280,nc_state_senate_district_45
wilkes_103,59,166,nc_state_senate_district_45
wilkes_104,143,300,nc_state_senate_district_45
wilkes_105,112,286,nc_state_senate_district_45
wilkes_106,106,225,nc_state_senate_district_45
wilkes_107,197,765,nc_state_senate_district_45
wilkes_108,165,231,nc_state_senate_district_45
wilkes_109,98,158,nc_state_senate_district_45
wilkes_110,37,89,nc_state_senate_district_45
wilkes_111,156,391,nc_state_senate_district_45
wilkes_112,146,477,nc_state_senate_district_45
wilkes_113,198,316,nc_state_senate_district_45
wilkes_114,55,167,nc_state_senate_district_45
wilkes_115A,203,760,nc_state_senate_district_45
wilkes_117,101,278,nc_state_senate_district_45
wilkes_118,274,282,nc_state_senate_district_45
wilkes_119,220,667,nc_state_senate_district_45
wilkes_120,129,403,nc_state_senate_district_45
wilkes_121,175,359,nc_state_senate_district_45
wilkes_122,28,309,nc_state_senate_district_45
wilkes_123,64,212,nc_state_senate_district_45
wilkes_124,86,308,nc_state_senate_district_45
wilkes_125,67,190,nc_state_senate_district_45
wilkes_126,67,184,nc_state_senate_district_45
wilkes_127,243,327,nc_state_senate_district_45
wilkes_128,290,569,nc_state_senate_district_45
wilkes_129,198,486,nc_state_senate_district_45
