prec_id,Mary S. Accor,Tim Moore,election
cleveland_B SPGS,603,1833,nc_house_of_representatives_district_111
cleveland_BETHWR,142,551,nc_house_of_representatives_district_111
cleveland_GROVER,335,821,nc_house_of_representatives_district_111
cleveland_H SPGS,82,167,nc_house_of_representatives_district_111
cleveland_KM N,578,1235,nc_house_of_representatives_district_111
cleveland_KM S,470,1048,nc_house_of_representatives_district_111
cleveland_OAKGRV,66,403,nc_house_of_representatives_district_111
cleveland_RIPPY,401,914,nc_house_of_representatives_district_111
cleveland_S 1,371,348,nc_house_of_representatives_district_111
cleveland_S 2,449,1034,nc_house_of_representatives_district_111
cleveland_S 3,267,358,nc_house_of_representatives_district_111
cleveland_S 4,516,455,nc_house_of_representatives_district_111
cleveland_S 5,512,621,nc_house_of_representatives_district_111
cleveland_S 6,523,561,nc_house_of_representatives_district_111
cleveland_S 7,460,820,nc_house_of_representatives_district_111
cleveland_S 8,393,519,nc_house_of_representatives_district_111
cleveland_SHANGI,335,779,nc_house_of_representatives_district_111
