prec_id,Martin L. Nesbitt,R L Clark,election
buncombe_01.1,346,52,nc_state_senate_district_49
buncombe_02.1,806,50,nc_state_senate_district_49
buncombe_03.1,563,77,nc_state_senate_district_49
buncombe_04.1,355,115,nc_state_senate_district_49
buncombe_05.1,469,222,nc_state_senate_district_49
buncombe_06.1,335,145,nc_state_senate_district_49
buncombe_07.1,339,97,nc_state_senate_district_49
buncombe_08.2,411,141,nc_state_senate_district_49
buncombe_08.3,458,128,nc_state_senate_district_49
buncombe_09.1,540,274,nc_state_senate_district_49
buncombe_10.1,395,27,nc_state_senate_district_49
buncombe_11.1,309,25,nc_state_senate_district_49
buncombe_12.1,446,109,nc_state_senate_district_49
buncombe_13.1,415,107,nc_state_senate_district_49
buncombe_14.2,397,139,nc_state_senate_district_49
buncombe_14.3,167,68,nc_state_senate_district_49
buncombe_15.1,461,132,nc_state_senate_district_49
buncombe_16.2,499,160,nc_state_senate_district_49
buncombe_17.1,333,129,nc_state_senate_district_49
buncombe_20.1,148,49,nc_state_senate_district_49
buncombe_21.1,461,276,nc_state_senate_district_49
buncombe_22.2,468,198,nc_state_senate_district_49
buncombe_23.2,65,36,nc_state_senate_district_49
buncombe_23.3,217,166,nc_state_senate_district_49
buncombe_24.1,162,122,nc_state_senate_district_49
buncombe_25.1,381,252,nc_state_senate_district_49
buncombe_26.1,249,112,nc_state_senate_district_49
buncombe_27.2,158,78,nc_state_senate_district_49
buncombe_28.1,422,123,nc_state_senate_district_49
buncombe_32.1,201,254,nc_state_senate_district_49
buncombe_33.2,145,163,nc_state_senate_district_49
buncombe_33.3,284,230,nc_state_senate_district_49
buncombe_34.1,193,133,nc_state_senate_district_49
buncombe_35.1,238,173,nc_state_senate_district_49
buncombe_36.1,226,249,nc_state_senate_district_49
buncombe_40.2,367,549,nc_state_senate_district_49
buncombe_41.1,241,412,nc_state_senate_district_49
buncombe_42.1,237,248,nc_state_senate_district_49
buncombe_43.2,166,190,nc_state_senate_district_49
buncombe_45.1,363,450,nc_state_senate_district_49
buncombe_48.1,305,452,nc_state_senate_district_49
buncombe_50.1,227,303,nc_state_senate_district_49
buncombe_51.2,231,266,nc_state_senate_district_49
buncombe_52.1,260,488,nc_state_senate_district_49
buncombe_53.1,270,385,nc_state_senate_district_49
buncombe_58.1,206,252,nc_state_senate_district_49
buncombe_59.1,401,491,nc_state_senate_district_49
buncombe_60.2,148,105,nc_state_senate_district_49
buncombe_60.4,213,225,nc_state_senate_district_49
buncombe_61.1,444,441,nc_state_senate_district_49
buncombe_62.1,327,321,nc_state_senate_district_49
buncombe_63.1,81,91,nc_state_senate_district_49
buncombe_64.1,217,285,nc_state_senate_district_49
buncombe_65.1,345,334,nc_state_senate_district_49
buncombe_66.1,274,156,nc_state_senate_district_49
buncombe_67.1,292,285,nc_state_senate_district_49
buncombe_68.1,327,461,nc_state_senate_district_49
buncombe_681,48,85,nc_state_senate_district_49
buncombe_69.1,316,444,nc_state_senate_district_49
buncombe_70.1,270,244,nc_state_senate_district_49
buncombe_71.1,479,490,nc_state_senate_district_49
buncombe_CURBSIDE,0,0,nc_state_senate_district_49
