prec_id,Cullie Tarleton,Jonathan C. Jordan,election
ashe_02,197,244,nc_house_of_representatives_district_93
ashe_03,51,149,nc_house_of_representatives_district_93
ashe_04,62,81,nc_house_of_representatives_district_93
ashe_06,82,100,nc_house_of_representatives_district_93
ashe_07,81,75,nc_house_of_representatives_district_93
ashe_08,34,29,nc_house_of_representatives_district_93
ashe_09,423,410,nc_house_of_representatives_district_93
ashe_10,33,62,nc_house_of_representatives_district_93
ashe_11,335,315,nc_house_of_representatives_district_93
ashe_12,72,182,nc_house_of_representatives_district_93
ashe_13,157,207,nc_house_of_representatives_district_93
ashe_14,214,366,nc_house_of_representatives_district_93
ashe_15,94,166,nc_house_of_representatives_district_93
ashe_16,228,347,nc_house_of_representatives_district_93
ashe_17,118,178,nc_house_of_representatives_district_93
ashe_18,27,40,nc_house_of_representatives_district_93
ashe_20,404,460,nc_house_of_representatives_district_93
watauga_01,61,86,nc_house_of_representatives_district_93
watauga_02,141,213,nc_house_of_representatives_district_93
watauga_03,438,339,nc_house_of_representatives_district_93
watauga_04,321,408,nc_house_of_representatives_district_93
watauga_05,170,59,nc_house_of_representatives_district_93
watauga_06,144,107,nc_house_of_representatives_district_93
watauga_07,282,272,nc_house_of_representatives_district_93
watauga_08,240,420,nc_house_of_representatives_district_93
watauga_09,66,96,nc_house_of_representatives_district_93
watauga_10,133,197,nc_house_of_representatives_district_93
watauga_11,270,408,nc_house_of_representatives_district_93
watauga_12,94,40,nc_house_of_representatives_district_93
watauga_13,154,105,nc_house_of_representatives_district_93
watauga_14,233,273,nc_house_of_representatives_district_93
watauga_15,327,343,nc_house_of_representatives_district_93
watauga_16,10,48,nc_house_of_representatives_district_93
watauga_17,91,128,nc_house_of_representatives_district_93
watauga_18,195,465,nc_house_of_representatives_district_93
watauga_19,292,446,nc_house_of_representatives_district_93
watauga_20,63,83,nc_house_of_representatives_district_93
