prec_id,Barbara Garrity-Blake,Jean R. Preston,election
carteret_ABCH,124,313,nc_state_senate_district_2
carteret_ATLN,123,113,nc_state_senate_district_2
carteret_BCRK,142,427,nc_state_senate_district_2
carteret_BETT,37,88,nc_state_senate_district_2
carteret_BFT1,228,133,nc_state_senate_district_2
carteret_BFT2,323,371,nc_state_senate_district_2
carteret_BOGU,142,435,nc_state_senate_district_2
carteret_CCCP,125,402,nc_state_senate_district_2
carteret_CDIS,63,37,nc_state_senate_district_2
carteret_DAVI,66,76,nc_state_senate_district_2
carteret_EMIS,262,609,nc_state_senate_district_2
carteret_HAIS,150,277,nc_state_senate_district_2
carteret_HARL,34,166,nc_state_senate_district_2
carteret_IBSP,53,74,nc_state_senate_district_2
carteret_MARS,91,78,nc_state_senate_district_2
carteret_MCRK,40,163,nc_state_senate_district_2
carteret_MERR,74,109,nc_state_senate_district_2
carteret_MHD1,255,354,nc_state_senate_district_2
carteret_MHD2,257,345,nc_state_senate_district_2
carteret_MHD3,233,467,nc_state_senate_district_2
carteret_MHD4,218,554,nc_state_senate_district_2
carteret_NPT1,292,749,nc_state_senate_district_2
carteret_NPT2,154,588,nc_state_senate_district_2
carteret_NRIV,121,47,nc_state_senate_district_2
carteret_OTST,190,350,nc_state_senate_district_2
carteret_PELE,56,208,nc_state_senate_district_2
carteret_PKNL,183,362,nc_state_senate_district_2
carteret_SLVL,41,48,nc_state_senate_district_2
carteret_SMYR,44,54,nc_state_senate_district_2
carteret_STAC,22,49,nc_state_senate_district_2
carteret_STEL,55,218,nc_state_senate_district_2
carteret_WILD,190,504,nc_state_senate_district_2
carteret_WILL,53,70,nc_state_senate_district_2
carteret_WIRE,127,198,nc_state_senate_district_2
craven_03,484,1523,nc_state_senate_district_2
craven_04,200,275,nc_state_senate_district_2
craven_05,423,942,nc_state_senate_district_2
craven_06,165,180,nc_state_senate_district_2
craven_07,331,568,nc_state_senate_district_2
craven_08,227,256,nc_state_senate_district_2
craven_09,149,141,nc_state_senate_district_2
craven_10,139,204,nc_state_senate_district_2
craven_11,217,741,nc_state_senate_district_2
craven_12,32,178,nc_state_senate_district_2
craven_13,85,250,nc_state_senate_district_2
craven_14,553,726,nc_state_senate_district_2
craven_15,135,204,nc_state_senate_district_2
craven_16,392,1110,nc_state_senate_district_2
craven_17,214,700,nc_state_senate_district_2
craven_18,491,849,nc_state_senate_district_2
craven_19,612,594,nc_state_senate_district_2
craven_20,462,1204,nc_state_senate_district_2
craven_21,306,882,nc_state_senate_district_2
craven_22,328,948,nc_state_senate_district_2
craven_23,531,1301,nc_state_senate_district_2
craven_N1,428,418,nc_state_senate_district_2
craven_N2,594,216,nc_state_senate_district_2
craven_N3,311,443,nc_state_senate_district_2
craven_N4,617,556,nc_state_senate_district_2
craven_N5,403,249,nc_state_senate_district_2
craven_N6,681,1161,nc_state_senate_district_2
craven_CURBSIDE,0,0,nc_state_senate_district_2
pamlico_1AL A,74,153,nc_state_senate_district_2
pamlico_5AP,372,683,nc_state_senate_district_2
pamlico_3BY,399,282,nc_state_senate_district_2
pamlico_1GB,106,277,nc_state_senate_district_2
pamlico_4HB,13,102,nc_state_senate_district_2
pamlico_4MSIC,68,33,nc_state_senate_district_2
pamlico_2OT,410,671,nc_state_senate_district_2
pamlico_1RB,129,375,nc_state_senate_district_2
pamlico_2SW,92,135,nc_state_senate_district_2
pamlico_4VM A,62,36,nc_state_senate_district_2
pamlico_CURBSIDE,51,31,nc_state_senate_district_2
