prec_id,Darrell McCormick,election
iredell_EM,257,nc_house_of_representatives_district_92
iredell_NH,354,nc_house_of_representatives_district_92
iredell_OL,364,nc_house_of_representatives_district_92
iredell_SB,524,nc_house_of_representatives_district_92
iredell_UG,397,nc_house_of_representatives_district_92
surry_05,689,nc_house_of_representatives_district_92
surry_10,295,nc_house_of_representatives_district_92
surry_16,353,nc_house_of_representatives_district_92
surry_20,288,nc_house_of_representatives_district_92
surry_21,594,nc_house_of_representatives_district_92
surry_23,408,nc_house_of_representatives_district_92
surry_24,239,nc_house_of_representatives_district_92
surry_27,384,nc_house_of_representatives_district_92
surry_28,343,nc_house_of_representatives_district_92
surry_CURBSIDE,20,nc_house_of_representatives_district_92
yadkin_BNVL,936,nc_house_of_representatives_district_92
yadkin_DCRK,559,nc_house_of_representatives_district_92
yadkin_EBND,739,nc_house_of_representatives_district_92
yadkin_FBSH,1088,nc_house_of_representatives_district_92
yadkin_NBCK,504,nc_house_of_representatives_district_92
yadkin_NFAL,393,nc_house_of_representatives_district_92
yadkin_NKNB,826,nc_house_of_representatives_district_92
yadkin_NLIB,1030,nc_house_of_representatives_district_92
yadkin_SBCK,262,nc_house_of_representatives_district_92
yadkin_SFAL,598,nc_house_of_representatives_district_92
yadkin_SKNB,410,nc_house_of_representatives_district_92
yadkin_SLIB,731,nc_house_of_representatives_district_92
