prec_id,Marvin W. Lucas,election
cumberland_G5A,1218,nc_house_of_representatives_district_42
cumberland_G5C,16,nc_house_of_representatives_district_42
cumberland_CL57,1462,nc_house_of_representatives_district_42
cumberland_CC17,812,nc_house_of_representatives_district_42
cumberland_CC27,195,nc_house_of_representatives_district_42
cumberland_G5B,1122,nc_house_of_representatives_district_42
cumberland_CC32,369,nc_house_of_representatives_district_42
cumberland_G8A,562,nc_house_of_representatives_district_42
cumberland_LR63,910,nc_house_of_representatives_district_42
cumberland_G11B,165,nc_house_of_representatives_district_42
cumberland_MB62,471,nc_house_of_representatives_district_42
cumberland_G11A,1146,nc_house_of_representatives_district_42
cumberland_G10C,4,nc_house_of_representatives_district_42
cumberland_G10A,106,nc_house_of_representatives_district_42
cumberland_G2E,34,nc_house_of_representatives_district_42
