prec_id,A. B. Swindell,E.S. (Buck) Newton,election
nash_0001,328,640,nc_state_senate_district_11
nash_0002,214,191,nc_state_senate_district_11
nash_0003,195,219,nc_state_senate_district_11
nash_0004,122,690,nc_state_senate_district_11
nash_0005,311,504,nc_state_senate_district_11
nash_0006,185,489,nc_state_senate_district_11
nash_0007,382,158,nc_state_senate_district_11
nash_0008,190,357,nc_state_senate_district_11
nash_0011,574,416,nc_state_senate_district_11
nash_0012,111,229,nc_state_senate_district_11
nash_0015,750,744,nc_state_senate_district_11
nash_0021,257,72,nc_state_senate_district_11
nash_0022,244,181,nc_state_senate_district_11
nash_0025,315,584,nc_state_senate_district_11
nash_0026,159,630,nc_state_senate_district_11
nash_0031,189,85,nc_state_senate_district_11
nash_0032,278,174,nc_state_senate_district_11
nash_0033,533,98,nc_state_senate_district_11
nash_0034,717,159,nc_state_senate_district_11
nash_0035,273,670,nc_state_senate_district_11
nash_0036,339,492,nc_state_senate_district_11
nash_0037,374,524,nc_state_senate_district_11
nash_0038,454,311,nc_state_senate_district_11
nash_0039,266,556,nc_state_senate_district_11
nash_0040A,698,594,nc_state_senate_district_11
nash_0041,126,303,nc_state_senate_district_11
nash_0042,170,82,nc_state_senate_district_11
wilson_PRBL,306,956,nc_state_senate_district_11
wilson_PRCR,345,756,nc_state_senate_district_11
wilson_PRGA,611,566,nc_state_senate_district_11
wilson_PROL,448,1279,nc_state_senate_district_11
wilson_PRSA,303,263,nc_state_senate_district_11
wilson_PRSP,319,561,nc_state_senate_district_11
wilson_PRST,338,335,nc_state_senate_district_11
wilson_PRTA,1067,1862,nc_state_senate_district_11
wilson_PRTO,824,984,nc_state_senate_district_11
wilson_PRWA,316,76,nc_state_senate_district_11
wilson_PRWB,427,34,nc_state_senate_district_11
wilson_PRWC,623,92,nc_state_senate_district_11
wilson_PRWD,283,711,nc_state_senate_district_11
wilson_PRWE,423,231,nc_state_senate_district_11
wilson_PRWH,433,12,nc_state_senate_district_11
wilson_PRWI,513,307,nc_state_senate_district_11
wilson_PRWJ,760,829,nc_state_senate_district_11
wilson_PRWK,312,729,nc_state_senate_district_11
wilson_PRWL,536,784,nc_state_senate_district_11
wilson_PRWM,879,1197,nc_state_senate_district_11
wilson_PRWN,1042,72,nc_state_senate_district_11
wilson_PRWP,275,708,nc_state_senate_district_11
wilson_PRWQ,334,0,nc_state_senate_district_11
wilson_PRWR,688,70,nc_state_senate_district_11
wilson_CURBSIDE,31,17,nc_state_senate_district_11
