prec_id,John Eaker,Kelly E. Hastings,election
cleveland_CASAR,83,515,nc_house_of_representatives_district_110
cleveland_FALSTN,191,490,nc_house_of_representatives_district_110
cleveland_LAWNDL,457,357,nc_house_of_representatives_district_110
cleveland_MULLS,221,556,nc_house_of_representatives_district_110
cleveland_OAKGRV,198,644,nc_house_of_representatives_district_110
cleveland_POLKVL,258,670,nc_house_of_representatives_district_110
cleveland_WACO,473,796,nc_house_of_representatives_district_110
gaston_08,226,118,nc_house_of_representatives_district_110
gaston_12,103,270,nc_house_of_representatives_district_110
gaston_20,169,582,nc_house_of_representatives_district_110
gaston_21,233,314,nc_house_of_representatives_district_110
gaston_33,81,302,nc_house_of_representatives_district_110
gaston_34,126,337,nc_house_of_representatives_district_110
gaston_35,169,315,nc_house_of_representatives_district_110
gaston_36,323,595,nc_house_of_representatives_district_110
gaston_37,196,320,nc_house_of_representatives_district_110
gaston_38,138,449,nc_house_of_representatives_district_110
gaston_39,120,775,nc_house_of_representatives_district_110
gaston_40,252,485,nc_house_of_representatives_district_110
gaston_41,118,417,nc_house_of_representatives_district_110
