prec_id,Tricia Cotham,election
mecklenburg_5,342,nc_house_of_representatives_district_100
mecklenburg_6,568,nc_house_of_representatives_district_100
mecklenburg_7,432,nc_house_of_representatives_district_100
mecklenburg_33,405,nc_house_of_representatives_district_100
mecklenburg_34,498,nc_house_of_representatives_district_100
mecklenburg_45,396,nc_house_of_representatives_district_100
mecklenburg_62,519,nc_house_of_representatives_district_100
mecklenburg_63,488,nc_house_of_representatives_district_100
mecklenburg_64,295,nc_house_of_representatives_district_100
mecklenburg_66,44,nc_house_of_representatives_district_100
mecklenburg_84,581,nc_house_of_representatives_district_100
mecklenburg_85,539,nc_house_of_representatives_district_100
mecklenburg_95,534,nc_house_of_representatives_district_100
mecklenburg_96,398,nc_house_of_representatives_district_100
mecklenburg_99,356,nc_house_of_representatives_district_100
mecklenburg_106,125,nc_house_of_representatives_district_100
mecklenburg_108,589,nc_house_of_representatives_district_100
mecklenburg_117,489,nc_house_of_representatives_district_100
mecklenburg_124,777,nc_house_of_representatives_district_100
mecklenburg_125,335,nc_house_of_representatives_district_100
mecklenburg_130,377,nc_house_of_representatives_district_100
mecklenburg_217,293,nc_house_of_representatives_district_100
mecklenburg_CURBSIDE,17,nc_house_of_representatives_district_100
