prec_id,Violet Rhinehart,Marilyn Avila,election
wake_17168,386,588,nc_house_of_representatives_district_40
wake_43862,513,796,nc_house_of_representatives_district_40
wake_43863,682,1350,nc_house_of_representatives_district_40
wake_43864,425,904,nc_house_of_representatives_district_40
wake_43865,317,689,nc_house_of_representatives_district_40
wake_43866,183,335,nc_house_of_representatives_district_40
wake_43867,352,735,nc_house_of_representatives_district_40
wake_44017,341,321,nc_house_of_representatives_district_40
wake_44047,300,506,nc_house_of_representatives_district_40
wake_44048,423,541,nc_house_of_representatives_district_40
wake_44050,338,811,nc_house_of_representatives_district_40
wake_44051,636,1019,nc_house_of_representatives_district_40
wake_13-09,830,436,nc_house_of_representatives_district_40
wake_13-10,784,1176,nc_house_of_representatives_district_40
wake_13-11,467,734,nc_house_of_representatives_district_40
wake_14-01,71,224,nc_house_of_representatives_district_40
wake_14-02,421,1238,nc_house_of_representatives_district_40
wake_19-03,290,589,nc_house_of_representatives_district_40
wake_19-04,709,1152,nc_house_of_representatives_district_40
wake_19-05,269,708,nc_house_of_representatives_district_40
wake_19-07,278,285,nc_house_of_representatives_district_40
wake_19-09,405,834,nc_house_of_representatives_district_40
wake_19-10,546,1080,nc_house_of_representatives_district_40
wake_19-11,280,461,nc_house_of_representatives_district_40
wake_19-12,397,720,nc_house_of_representatives_district_40
wake_19-13,294,326,nc_house_of_representatives_district_40
wake_19-14,184,493,nc_house_of_representatives_district_40
wake_19-15,239,422,nc_house_of_representatives_district_40
wake_19-16,145,120,nc_house_of_representatives_district_40
wake_19-17,212,83,nc_house_of_representatives_district_40
