prec_id,Julia Craven Howard,election
davie_01,413,nc_house_of_representatives_district_79
davie_02,390,nc_house_of_representatives_district_79
davie_03,934,nc_house_of_representatives_district_79
davie_04,513,nc_house_of_representatives_district_79
davie_05,993,nc_house_of_representatives_district_79
davie_06,621,nc_house_of_representatives_district_79
davie_07,656,nc_house_of_representatives_district_79
davie_08,540,nc_house_of_representatives_district_79
davie_09,779,nc_house_of_representatives_district_79
davie_10,922,nc_house_of_representatives_district_79
davie_11,630,nc_house_of_representatives_district_79
davie_12,1398,nc_house_of_representatives_district_79
davie_13,1265,nc_house_of_representatives_district_79
davie_14,805,nc_house_of_representatives_district_79
davie_CURBSIDE,44,nc_house_of_representatives_district_79
iredell_BE,487,nc_house_of_representatives_district_79
iredell_CH-A,542,nc_house_of_representatives_district_79
iredell_CH-B,431,nc_house_of_representatives_district_79
iredell_CS,512,nc_house_of_representatives_district_79
iredell_ST1,661,nc_house_of_representatives_district_79
iredell_ST2,372,nc_house_of_representatives_district_79
iredell_ST6,211,nc_house_of_representatives_district_79
iredell_TB,464,nc_house_of_representatives_district_79
