prec_id,James (Jim) Forrester,election
gaston_39,809,nc_state_senate_district_41
gaston_42,555,nc_state_senate_district_41
gaston_43,718,nc_state_senate_district_41
gaston_44,973,nc_state_senate_district_41
gaston_45,436,nc_state_senate_district_41
gaston_46,790,nc_state_senate_district_41
iredell_BA,839,nc_state_senate_district_41
iredell_BE,1077,nc_state_senate_district_41
iredell_CC4,326,nc_state_senate_district_41
iredell_CH-A,542,nc_state_senate_district_41
iredell_CH-B,441,nc_state_senate_district_41
iredell_CS,518,nc_state_senate_district_41
iredell_DV1-A,1153,nc_state_senate_district_41
iredell_DV1-B,1551,nc_state_senate_district_41
iredell_DV2-A,887,nc_state_senate_district_41
iredell_DV2-B,854,nc_state_senate_district_41
iredell_FT,1378,nc_state_senate_district_41
iredell_ST1,675,nc_state_senate_district_41
iredell_ST2,372,nc_state_senate_district_41
iredell_ST3,307,nc_state_senate_district_41
iredell_ST4,446,nc_state_senate_district_41
iredell_ST5,386,nc_state_senate_district_41
iredell_ST6,294,nc_state_senate_district_41
lincoln_AS25,615,nc_state_senate_district_41
lincoln_BC13,201,nc_state_senate_district_41
lincoln_BS26,410,nc_state_senate_district_41
lincoln_CF19,423,nc_state_senate_district_41
lincoln_CR06,188,nc_state_senate_district_41
lincoln_DN29,547,nc_state_senate_district_41
lincoln_DV08,615,nc_state_senate_district_41
lincoln_DW28,399,nc_state_senate_district_41
lincoln_HG17,296,nc_state_senate_district_41
lincoln_HV07,556,nc_state_senate_district_41
lincoln_IS20,463,nc_state_senate_district_41
lincoln_IS23,560,nc_state_senate_district_41
lincoln_LI14,329,nc_state_senate_district_41
lincoln_LM16,267,nc_state_senate_district_41
lincoln_LN11,292,nc_state_senate_district_41
lincoln_LS12,260,nc_state_senate_district_41
lincoln_LS15,395,nc_state_senate_district_41
lincoln_LW18,249,nc_state_senate_district_41
lincoln_LW31,643,nc_state_senate_district_41
lincoln_NB03,325,nc_state_senate_district_41
lincoln_NB09,516,nc_state_senate_district_41
lincoln_OB21,571,nc_state_senate_district_41
lincoln_OG10,395,nc_state_senate_district_41
lincoln_PC22,600,nc_state_senate_district_41
lincoln_SL24,465,nc_state_senate_district_41
lincoln_TE27,448,nc_state_senate_district_41
lincoln_TR30,231,nc_state_senate_district_41
lincoln_WP32,917,nc_state_senate_district_41
