prec_id,Bill Faison,Rick Smith,election
caswell_ANDE,149,247,nc_house_of_representatives_district_50
caswell_HIGH,298,147,nc_house_of_representatives_district_50
caswell_LEAS,185,120,nc_house_of_representatives_district_50
caswell_LOCU,596,302,nc_house_of_representatives_district_50
caswell_MILT,679,329,nc_house_of_representatives_district_50
caswell_PELH,577,693,nc_house_of_representatives_district_50
caswell_PROS,157,258,nc_house_of_representatives_district_50
caswell_PROVI,192,213,nc_house_of_representatives_district_50
caswell_STON,358,492,nc_house_of_representatives_district_50
caswell_YAN2,309,261,nc_house_of_representatives_district_50
caswell_YAN4,290,122,nc_house_of_representatives_district_50
caswell_CURBSIDE,0,0,nc_house_of_representatives_district_50
orange_CA,204,184,nc_house_of_representatives_district_50
orange_CG,313,268,nc_house_of_representatives_district_50
orange_CP,408,367,nc_house_of_representatives_district_50
orange_CS1,251,177,nc_house_of_representatives_district_50
orange_CW,432,583,nc_house_of_representatives_district_50
orange_CX,554,602,nc_house_of_representatives_district_50
orange_EF,340,356,nc_house_of_representatives_district_50
orange_ENO,364,435,nc_house_of_representatives_district_50
orange_GB,480,368,nc_house_of_representatives_district_50
orange_H,193,64,nc_house_of_representatives_district_50
orange_HF,681,283,nc_house_of_representatives_district_50
orange_OG,752,461,nc_house_of_representatives_district_50
orange_SM,398,506,nc_house_of_representatives_district_50
orange_TO,258,280,nc_house_of_representatives_district_50
orange_WH,427,175,nc_house_of_representatives_district_50
