prec_id,Pat B. Hurley,election
randolph_01,473,nc_house_of_representatives_district_70
randolph_02,400,nc_house_of_representatives_district_70
randolph_03,661,nc_house_of_representatives_district_70
randolph_04,445,nc_house_of_representatives_district_70
randolph_05,203,nc_house_of_representatives_district_70
randolph_06,368,nc_house_of_representatives_district_70
randolph_08,1,nc_house_of_representatives_district_70
randolph_10,333,nc_house_of_representatives_district_70
randolph_19,415,nc_house_of_representatives_district_70
randolph_20,464,nc_house_of_representatives_district_70
randolph_22,567,nc_house_of_representatives_district_70
randolph_23,655,nc_house_of_representatives_district_70
randolph_25,441,nc_house_of_representatives_district_70
randolph_26,506,nc_house_of_representatives_district_70
randolph_29,861,nc_house_of_representatives_district_70
randolph_30,643,nc_house_of_representatives_district_70
randolph_31,609,nc_house_of_representatives_district_70
randolph_32,750,nc_house_of_representatives_district_70
randolph_33,306,nc_house_of_representatives_district_70
randolph_35,568,nc_house_of_representatives_district_70
