prec_id,Ken Goodman,James Haywood Parsons,election
montgomery_BIS,285,252,nc_house_of_representatives_district_66
montgomery_CAN,279,299,nc_house_of_representatives_district_66
montgomery_CHE,95,180,nc_house_of_representatives_district_66
montgomery_LIT,62,160,nc_house_of_representatives_district_66
montgomery_MTG,558,180,nc_house_of_representatives_district_66
montgomery_OPH,41,94,nc_house_of_representatives_district_66
montgomery_PEE,96,236,nc_house_of_representatives_district_66
montgomery_ROC,191,63,nc_house_of_representatives_district_66
montgomery_STA,184,469,nc_house_of_representatives_district_66
montgomery_T1,250,305,nc_house_of_representatives_district_66
montgomery_T2,225,245,nc_house_of_representatives_district_66
montgomery_UWH,13,25,nc_house_of_representatives_district_66
montgomery_WAD,114,84,nc_house_of_representatives_district_66
richmond_01,656,197,nc_house_of_representatives_district_66
richmond_02,747,440,nc_house_of_representatives_district_66
richmond_03,158,89,nc_house_of_representatives_district_66
richmond_04,255,167,nc_house_of_representatives_district_66
richmond_05,92,47,nc_house_of_representatives_district_66
richmond_06,223,149,nc_house_of_representatives_district_66
richmond_07,143,61,nc_house_of_representatives_district_66
richmond_08,601,227,nc_house_of_representatives_district_66
richmond_09,862,479,nc_house_of_representatives_district_66
richmond_10,192,60,nc_house_of_representatives_district_66
richmond_11,225,85,nc_house_of_representatives_district_66
richmond_12,385,219,nc_house_of_representatives_district_66
richmond_13,170,106,nc_house_of_representatives_district_66
richmond_14,79,11,nc_house_of_representatives_district_66
richmond_15,28,38,nc_house_of_representatives_district_66
richmond_16,53,68,nc_house_of_representatives_district_66
