prec_id,Grier Martin,Steve Henion,election
wake_43840,483,253,nc_house_of_representatives_district_34
wake_43841,494,591,nc_house_of_representatives_district_34
wake_43845,329,312,nc_house_of_representatives_district_34
wake_43847,239,245,nc_house_of_representatives_district_34
wake_43848,644,493,nc_house_of_representatives_district_34
wake_43860,363,293,nc_house_of_representatives_district_34
wake_13150,455,444,nc_house_of_representatives_district_34
wake_13516,513,377,nc_house_of_representatives_district_34
wake_14246,484,265,nc_house_of_representatives_district_34
wake_15342,465,616,nc_house_of_representatives_district_34
wake_15707,511,263,nc_house_of_representatives_district_34
wake_16072,733,422,nc_house_of_representatives_district_34
wake_16438,396,323,nc_house_of_representatives_district_34
wake_18629,297,232,nc_house_of_representatives_district_34
wake_44014,359,282,nc_house_of_representatives_district_34
wake_44015,423,349,nc_house_of_representatives_district_34
wake_44016,911,536,nc_house_of_representatives_district_34
wake_44018,695,769,nc_house_of_representatives_district_34
wake_44021,616,485,nc_house_of_representatives_district_34
wake_44023,302,244,nc_house_of_representatives_district_34
wake_44025,375,269,nc_house_of_representatives_district_34
wake_13-02,366,427,nc_house_of_representatives_district_34
wake_13-05,320,210,nc_house_of_representatives_district_34
wake_13-06,541,544,nc_house_of_representatives_district_34
