prec_id,Brad Miller,William (Bill) Randall,election
wake_11689,460,255,us_house_of_representatives_district_13
wake_12055,472,302,us_house_of_representatives_district_13
wake_12420,399,23,us_house_of_representatives_district_13
wake_13150,400,494,us_house_of_representatives_district_13
wake_13516,498,395,us_house_of_representatives_district_13
wake_13881,566,388,us_house_of_representatives_district_13
wake_14246,463,289,us_house_of_representatives_district_13
wake_14611,958,82,us_house_of_representatives_district_13
wake_14977,454,211,us_house_of_representatives_district_13
wake_15342,423,663,us_house_of_representatives_district_13
wake_15707,498,283,us_house_of_representatives_district_13
wake_16072,701,458,us_house_of_representatives_district_13
wake_16438,373,351,us_house_of_representatives_district_13
wake_16803,639,155,us_house_of_representatives_district_13
wake_17533,627,269,us_house_of_representatives_district_13
wake_17899,401,202,us_house_of_representatives_district_13
wake_18629,263,266,us_house_of_representatives_district_13
wake_43923,554,508,us_house_of_representatives_district_13
wake_43925,275,255,us_house_of_representatives_district_13
wake_43937,504,398,us_house_of_representatives_district_13
wake_44013,447,343,us_house_of_representatives_district_13
wake_44014,339,304,us_house_of_representatives_district_13
wake_44016,894,558,us_house_of_representatives_district_13
wake_44017,357,313,us_house_of_representatives_district_13
wake_44021,591,511,us_house_of_representatives_district_13
wake_44022,755,637,us_house_of_representatives_district_13
wake_44023,270,274,us_house_of_representatives_district_13
wake_44024,546,402,us_house_of_representatives_district_13
wake_44025,356,295,us_house_of_representatives_district_13
wake_44075,369,456,us_house_of_representatives_district_13
wake_44076,657,472,us_house_of_representatives_district_13
wake_44077,374,552,us_house_of_representatives_district_13
wake_44105,144,283,us_house_of_representatives_district_13
wake_44106,564,570,us_house_of_representatives_district_13
wake_44107,467,488,us_house_of_representatives_district_13
wake_44108,844,818,us_house_of_representatives_district_13
wake_44137,15,34,us_house_of_representatives_district_13
wake_13-01,734,253,us_house_of_representatives_district_13
wake_13-02,347,445,us_house_of_representatives_district_13
wake_13-05,321,213,us_house_of_representatives_district_13
wake_13-06,522,566,us_house_of_representatives_district_13
wake_13-07,466,264,us_house_of_representatives_district_13
wake_13-08,535,183,us_house_of_representatives_district_13
wake_13-09,852,424,us_house_of_representatives_district_13
wake_13-10,837,1132,us_house_of_representatives_district_13
wake_13-11,497,713,us_house_of_representatives_district_13
wake_14-01,80,218,us_house_of_representatives_district_13
wake_14-02,489,1193,us_house_of_representatives_district_13
wake_17-01,583,309,us_house_of_representatives_district_13
wake_17-02,138,149,us_house_of_representatives_district_13
wake_17-03,1223,777,us_house_of_representatives_district_13
wake_17-04,707,595,us_house_of_representatives_district_13
wake_17-05,856,443,us_house_of_representatives_district_13
wake_17-06,260,348,us_house_of_representatives_district_13
wake_17-07,879,181,us_house_of_representatives_district_13
wake_17-08,1070,772,us_house_of_representatives_district_13
wake_17-09,920,102,us_house_of_representatives_district_13
wake_17-10,286,186,us_house_of_representatives_district_13
wake_17-11,894,362,us_house_of_representatives_district_13
wake_19-03,316,574,us_house_of_representatives_district_13
wake_19-04,765,1106,us_house_of_representatives_district_13
wake_19-05,287,698,us_house_of_representatives_district_13
wake_19-07,292,274,us_house_of_representatives_district_13
wake_19-09,444,822,us_house_of_representatives_district_13
wake_19-10,591,1055,us_house_of_representatives_district_13
wake_19-11,312,443,us_house_of_representatives_district_13
wake_19-12,425,703,us_house_of_representatives_district_13
wake_19-13,302,329,us_house_of_representatives_district_13
wake_19-14,218,471,us_house_of_representatives_district_13
wake_19-15,259,407,us_house_of_representatives_district_13
wake_19-16,439,494,us_house_of_representatives_district_13
wake_19-17,852,615,us_house_of_representatives_district_13
