prec_id,Jamie Boles,election
moore_BEN,434,nc_house_of_representatives_district_52
moore_CAR,620,nc_house_of_representatives_district_52
moore_DHR,411,nc_house_of_representatives_district_52
moore_EAB,436,nc_house_of_representatives_district_52
moore_EKWD,341,nc_house_of_representatives_district_52
moore_EUR,1025,nc_house_of_representatives_district_52
moore_EWD,322,nc_house_of_representatives_district_52
moore_LTR,566,nc_house_of_representatives_district_52
moore_NSP,508,nc_house_of_representatives_district_52
moore_PBF,451,nc_house_of_representatives_district_52
moore_PDN,912,nc_house_of_representatives_district_52
moore_PHA,1390,nc_house_of_representatives_district_52
moore_PHB1,750,nc_house_of_representatives_district_52
moore_PHB2,788,nc_house_of_representatives_district_52
moore_PHC,1279,nc_house_of_representatives_district_52
moore_RBN,245,nc_house_of_representatives_district_52
moore_SLS,1407,nc_house_of_representatives_district_52
moore_SSP,389,nc_house_of_representatives_district_52
moore_TLT,79,nc_house_of_representatives_district_52
moore_VSS,404,nc_house_of_representatives_district_52
moore_WAB,656,nc_house_of_representatives_district_52
moore_WEM,584,nc_house_of_representatives_district_52
moore_WKWD,500,nc_house_of_representatives_district_52
moore_WND,541,nc_house_of_representatives_district_52
moore_CURBSIDE,0,nc_house_of_representatives_district_52
