prec_id,Jeff Barnhart,election
cabarrus_43836,594,nc_house_of_representatives_district_82
cabarrus_43839,293,nc_house_of_representatives_district_82
cabarrus_43840,520,nc_house_of_representatives_district_82
cabarrus_43862,611,nc_house_of_representatives_district_82
cabarrus_43863,929,nc_house_of_representatives_district_82
cabarrus_43864,1077,nc_house_of_representatives_district_82
cabarrus_43866,874,nc_house_of_representatives_district_82
cabarrus_43867,493,nc_house_of_representatives_district_82
cabarrus_43868,769,nc_house_of_representatives_district_82
cabarrus_43869,887,nc_house_of_representatives_district_82
cabarrus_43870,832,nc_house_of_representatives_district_82
cabarrus_36586,848,nc_house_of_representatives_district_82
cabarrus_44166,117,nc_house_of_representatives_district_82
cabarrus_44167,224,nc_house_of_representatives_district_82
cabarrus_44168,473,nc_house_of_representatives_district_82
cabarrus_44169,365,nc_house_of_representatives_district_82
cabarrus_44170,541,nc_house_of_representatives_district_82
cabarrus_44171,305,nc_house_of_representatives_district_82
cabarrus_44172,69,nc_house_of_representatives_district_82
cabarrus_44173,215,nc_house_of_representatives_district_82
cabarrus_44174,480,nc_house_of_representatives_district_82
cabarrus_44175,331,nc_house_of_representatives_district_82
cabarrus_44176,323,nc_house_of_representatives_district_82
cabarrus_44177,401,nc_house_of_representatives_district_82
