prec_id,Harold J. Brubaker,election
randolph_07,282,nc_house_of_representatives_district_78
randolph_08,189,nc_house_of_representatives_district_78
randolph_09,260,nc_house_of_representatives_district_78
randolph_11,286,nc_house_of_representatives_district_78
randolph_12,448,nc_house_of_representatives_district_78
randolph_13,663,nc_house_of_representatives_district_78
randolph_14,275,nc_house_of_representatives_district_78
randolph_15,457,nc_house_of_representatives_district_78
randolph_16,618,nc_house_of_representatives_district_78
randolph_17,492,nc_house_of_representatives_district_78
randolph_18,500,nc_house_of_representatives_district_78
randolph_21,722,nc_house_of_representatives_district_78
randolph_24,200,nc_house_of_representatives_district_78
randolph_27,128,nc_house_of_representatives_district_78
randolph_28,423,nc_house_of_representatives_district_78
randolph_34,520,nc_house_of_representatives_district_78
randolph_36,527,nc_house_of_representatives_district_78
randolph_37,455,nc_house_of_representatives_district_78
randolph_38,732,nc_house_of_representatives_district_78
randolph_39,762,nc_house_of_representatives_district_78
randolph_40,335,nc_house_of_representatives_district_78
