prec_id,Dewey L. Hill,Tristan V. Patterson,election
brunswick_11,424,180,nc_house_of_representatives_district_20
brunswick_13,172,198,nc_house_of_representatives_district_20
brunswick_17,943,1381,nc_house_of_representatives_district_20
brunswick_18,402,428,nc_house_of_representatives_district_20
brunswick_CURBSIDE,9,3,nc_house_of_representatives_district_20
columbus_P01A,283,276,nc_house_of_representatives_district_20
columbus_P02A,204,92,nc_house_of_representatives_district_20
columbus_P03,120,104,nc_house_of_representatives_district_20
columbus_P04,73,47,nc_house_of_representatives_district_20
columbus_P05,85,68,nc_house_of_representatives_district_20
columbus_P06,169,159,nc_house_of_representatives_district_20
columbus_P07,462,239,nc_house_of_representatives_district_20
columbus_P08,64,76,nc_house_of_representatives_district_20
columbus_P09,282,88,nc_house_of_representatives_district_20
columbus_P10,86,155,nc_house_of_representatives_district_20
columbus_P11,135,168,nc_house_of_representatives_district_20
columbus_P12,47,77,nc_house_of_representatives_district_20
columbus_P13,92,168,nc_house_of_representatives_district_20
columbus_P14,447,388,nc_house_of_representatives_district_20
columbus_P15,411,224,nc_house_of_representatives_district_20
columbus_P16A,252,322,nc_house_of_representatives_district_20
columbus_P17,267,107,nc_house_of_representatives_district_20
columbus_P18,97,72,nc_house_of_representatives_district_20
columbus_P19,328,213,nc_house_of_representatives_district_20
columbus_P20,104,70,nc_house_of_representatives_district_20
columbus_P21,144,140,nc_house_of_representatives_district_20
columbus_P22,266,297,nc_house_of_representatives_district_20
columbus_P23,266,215,nc_house_of_representatives_district_20
columbus_P24,186,340,nc_house_of_representatives_district_20
columbus_P25A,129,263,nc_house_of_representatives_district_20
columbus_P26A,467,314,nc_house_of_representatives_district_20
