prec_id,Beverly Miller Earle,Rebecca H. Steen,election
mecklenburg_11,1027,623,nc_house_of_representatives_district_101
mecklenburg_12,606,39,nc_house_of_representatives_district_101
mecklenburg_26,1080,184,nc_house_of_representatives_district_101
mecklenburg_27,639,45,nc_house_of_representatives_district_101
mecklenburg_42,218,9,nc_house_of_representatives_district_101
mecklenburg_53,6,4,nc_house_of_representatives_district_101
mecklenburg_54,824,23,nc_house_of_representatives_district_101
mecklenburg_55,581,13,nc_house_of_representatives_district_101
mecklenburg_56,428,8,nc_house_of_representatives_district_101
mecklenburg_79,404,301,nc_house_of_representatives_district_101
mecklenburg_80,654,308,nc_house_of_representatives_district_101
mecklenburg_81,1003,290,nc_house_of_representatives_district_101
mecklenburg_89,1144,970,nc_house_of_representatives_district_101
mecklenburg_135,0,0,nc_house_of_representatives_district_101
mecklenburg_150,189,237,nc_house_of_representatives_district_101
mecklenburg_200,106,167,nc_house_of_representatives_district_101
mecklenburg_210,2054,237,nc_house_of_representatives_district_101
mecklenburg_211,481,142,nc_house_of_representatives_district_101
mecklenburg_213,1132,208,nc_house_of_representatives_district_101
mecklenburg_222,1260,611,nc_house_of_representatives_district_101
mecklenburg_223.1,481,148,nc_house_of_representatives_district_101
mecklenburg_224,427,479,nc_house_of_representatives_district_101
mecklenburg_CURBSIDE,237,13,nc_house_of_representatives_district_101
