prec_id,Larry R. Brown,election
davidson_16,1039,nc_house_of_representatives_district_73
davidson_80A,1655,nc_house_of_representatives_district_73
davidson_86A,798,nc_house_of_representatives_district_73
davidson_88,874,nc_house_of_representatives_district_73
davidson_CURBSIDE,0,nc_house_of_representatives_district_73
forsyth_011,1230,nc_house_of_representatives_district_73
forsyth_012,911,nc_house_of_representatives_district_73
forsyth_013,1041,nc_house_of_representatives_district_73
forsyth_014,666,nc_house_of_representatives_district_73
forsyth_015,556,nc_house_of_representatives_district_73
forsyth_021,1156,nc_house_of_representatives_district_73
forsyth_042,179,nc_house_of_representatives_district_73
forsyth_043,505,nc_house_of_representatives_district_73
forsyth_061,567,nc_house_of_representatives_district_73
forsyth_062,701,nc_house_of_representatives_district_73
forsyth_063,1236,nc_house_of_representatives_district_73
forsyth_064,370,nc_house_of_representatives_district_73
forsyth_065,1286,nc_house_of_representatives_district_73
forsyth_066,690,nc_house_of_representatives_district_73
forsyth_067,428,nc_house_of_representatives_district_73
forsyth_068,838,nc_house_of_representatives_district_73
forsyth_112,216,nc_house_of_representatives_district_73
forsyth_507,476,nc_house_of_representatives_district_73
