prec_id,Edgar V. Starnes,election
caldwell_PR05,590,nc_house_of_representatives_district_87
caldwell_PR06,423,nc_house_of_representatives_district_87
caldwell_PR08,247,nc_house_of_representatives_district_87
caldwell_PR13,630,nc_house_of_representatives_district_87
caldwell_PR14,498,nc_house_of_representatives_district_87
caldwell_PR15,641,nc_house_of_representatives_district_87
caldwell_PR16,199,nc_house_of_representatives_district_87
caldwell_PR17,318,nc_house_of_representatives_district_87
caldwell_PR18,722,nc_house_of_representatives_district_87
caldwell_PR21,589,nc_house_of_representatives_district_87
caldwell_PR22,612,nc_house_of_representatives_district_87
caldwell_PR24,333,nc_house_of_representatives_district_87
caldwell_PR25,355,nc_house_of_representatives_district_87
caldwell_PR28,606,nc_house_of_representatives_district_87
caldwell_PR29,338,nc_house_of_representatives_district_87
caldwell_PR30,73,nc_house_of_representatives_district_87
caldwell_PR31,206,nc_house_of_representatives_district_87
caldwell_PR32,587,nc_house_of_representatives_district_87
