prec_id,Fred Steen II,election
rowan_01,464,nc_house_of_representatives_district_76
rowan_02,219,nc_house_of_representatives_district_76
rowan_03,684,nc_house_of_representatives_district_76
rowan_05,528,nc_house_of_representatives_district_76
rowan_06,373,nc_house_of_representatives_district_76
rowan_09,604,nc_house_of_representatives_district_76
rowan_10,720,nc_house_of_representatives_district_76
rowan_13,500,nc_house_of_representatives_district_76
rowan_14,411,nc_house_of_representatives_district_76
rowan_15,670,nc_house_of_representatives_district_76
rowan_16,346,nc_house_of_representatives_district_76
rowan_17,487,nc_house_of_representatives_district_76
rowan_19,641,nc_house_of_representatives_district_76
rowan_20,330,nc_house_of_representatives_district_76
rowan_22,240,nc_house_of_representatives_district_76
rowan_23,387,nc_house_of_representatives_district_76
rowan_25,643,nc_house_of_representatives_district_76
rowan_26,373,nc_house_of_representatives_district_76
rowan_30,275,nc_house_of_representatives_district_76
rowan_31,394,nc_house_of_representatives_district_76
rowan_33,516,nc_house_of_representatives_district_76
rowan_44,637,nc_house_of_representatives_district_76
rowan_46,522,nc_house_of_representatives_district_76
