prec_id,Mel Watt,Greg Dority,Lon Cecil,election
cabarrus_43869,524,767,25,us_house_of_representatives_district_12
cabarrus_43870,555,719,18,us_house_of_representatives_district_12
cabarrus_36586,242,814,43,us_house_of_representatives_district_12
davidson_04,406,1579,63,us_house_of_representatives_district_12
davidson_06,241,669,38,us_house_of_representatives_district_12
davidson_08,180,291,20,us_house_of_representatives_district_12
davidson_16,154,1023,37,us_house_of_representatives_district_12
davidson_28,305,672,31,us_house_of_representatives_district_12
davidson_30,707,93,15,us_house_of_representatives_district_12
davidson_32,218,174,17,us_house_of_representatives_district_12
davidson_34,305,273,25,us_house_of_representatives_district_12
davidson_36,296,199,18,us_house_of_representatives_district_12
davidson_38,384,62,4,us_house_of_representatives_district_12
davidson_40,471,452,24,us_house_of_representatives_district_12
davidson_48,222,684,35,us_house_of_representatives_district_12
davidson_50,193,888,36,us_house_of_representatives_district_12
davidson_62,376,153,20,us_house_of_representatives_district_12
davidson_64,562,110,6,us_house_of_representatives_district_12
davidson_72,129,839,36,us_house_of_representatives_district_12
davidson_78,309,874,37,us_house_of_representatives_district_12
davidson_80A,265,1586,61,us_house_of_representatives_district_12
davidson_84,366,1323,47,us_house_of_representatives_district_12
davidson_86A,238,743,38,us_house_of_representatives_district_12
davidson_88,179,805,48,us_house_of_representatives_district_12
davidson_CURBSIDE,0,0,0,us_house_of_representatives_district_12
forsyth_033,479,380,19,us_house_of_representatives_district_12
forsyth_042,412,582,20,us_house_of_representatives_district_12
forsyth_043,318,555,27,us_house_of_representatives_district_12
forsyth_081,615,505,36,us_house_of_representatives_district_12
forsyth_082,913,747,32,us_house_of_representatives_district_12
forsyth_083,550,270,12,us_house_of_representatives_district_12
forsyth_101,427,546,22,us_house_of_representatives_district_12
forsyth_201,843,187,15,us_house_of_representatives_district_12
forsyth_203,437,14,0,us_house_of_representatives_district_12
forsyth_204,483,37,6,us_house_of_representatives_district_12
forsyth_205,260,7,2,us_house_of_representatives_district_12
forsyth_206,561,76,3,us_house_of_representatives_district_12
forsyth_207,462,178,9,us_house_of_representatives_district_12
forsyth_301,261,4,3,us_house_of_representatives_district_12
forsyth_302,337,15,3,us_house_of_representatives_district_12
forsyth_303,249,2,2,us_house_of_representatives_district_12
forsyth_304,874,11,1,us_house_of_representatives_district_12
forsyth_305,639,8,5,us_house_of_representatives_district_12
forsyth_306,379,74,2,us_house_of_representatives_district_12
forsyth_401,526,39,5,us_house_of_representatives_district_12
forsyth_402,461,4,1,us_house_of_representatives_district_12
forsyth_403,417,14,6,us_house_of_representatives_district_12
forsyth_404,502,47,3,us_house_of_representatives_district_12
forsyth_405,374,6,1,us_house_of_representatives_district_12
forsyth_501,763,64,10,us_house_of_representatives_district_12
forsyth_502,479,19,3,us_house_of_representatives_district_12
forsyth_503,342,73,9,us_house_of_representatives_district_12
forsyth_504,306,67,5,us_house_of_representatives_district_12
forsyth_505,453,131,16,us_house_of_representatives_district_12
forsyth_506,237,269,22,us_house_of_representatives_district_12
forsyth_507,711,552,30,us_house_of_representatives_district_12
forsyth_601,379,183,17,us_house_of_representatives_district_12
forsyth_603,520,211,23,us_house_of_representatives_district_12
forsyth_604,280,147,13,us_house_of_representatives_district_12
forsyth_605,612,457,36,us_house_of_representatives_district_12
forsyth_606,304,295,16,us_house_of_representatives_district_12
forsyth_902,408,121,22,us_house_of_representatives_district_12
forsyth_903,555,359,20,us_house_of_representatives_district_12
forsyth_904,520,231,19,us_house_of_representatives_district_12
forsyth_905,419,310,18,us_house_of_representatives_district_12
guilford_FEN1,1121,444,31,us_house_of_representatives_district_12
guilford_G04,531,39,6,us_house_of_representatives_district_12
guilford_G46,661,20,5,us_house_of_representatives_district_12
guilford_G52,655,58,12,us_house_of_representatives_district_12
guilford_G53,999,75,9,us_house_of_representatives_district_12
guilford_G54,667,84,3,us_house_of_representatives_district_12
guilford_G55,795,140,19,us_house_of_representatives_district_12
guilford_G57,559,168,13,us_house_of_representatives_district_12
guilford_G59,171,51,4,us_house_of_representatives_district_12
guilford_G61,508,165,10,us_house_of_representatives_district_12
guilford_G62,294,246,18,us_house_of_representatives_district_12
guilford_G64,107,36,6,us_house_of_representatives_district_12
guilford_G65,453,365,36,us_house_of_representatives_district_12
guilford_G66,403,489,45,us_house_of_representatives_district_12
guilford_G67,298,3,2,us_house_of_representatives_district_12
guilford_G68,537,7,3,us_house_of_representatives_district_12
guilford_G69,823,48,12,us_house_of_representatives_district_12
guilford_G70,653,11,7,us_house_of_representatives_district_12
guilford_G71,716,9,7,us_house_of_representatives_district_12
guilford_G73,681,5,3,us_house_of_representatives_district_12
guilford_G74,1050,15,5,us_house_of_representatives_district_12
guilford_G75,729,40,3,us_house_of_representatives_district_12
guilford_H01,287,139,8,us_house_of_representatives_district_12
guilford_H02,202,386,26,us_house_of_representatives_district_12
guilford_H03,256,109,5,us_house_of_representatives_district_12
guilford_H05,490,94,7,us_house_of_representatives_district_12
guilford_H06,510,467,33,us_house_of_representatives_district_12
guilford_H07,358,44,8,us_house_of_representatives_district_12
guilford_H08,192,12,2,us_house_of_representatives_district_12
guilford_H09,437,15,5,us_house_of_representatives_district_12
guilford_H10,724,64,11,us_house_of_representatives_district_12
guilford_H11,608,68,6,us_house_of_representatives_district_12
guilford_H12,268,162,19,us_house_of_representatives_district_12
guilford_H13,287,506,14,us_house_of_representatives_district_12
guilford_H17,239,154,9,us_house_of_representatives_district_12
guilford_H18,489,171,16,us_house_of_representatives_district_12
guilford_H19A,403,72,4,us_house_of_representatives_district_12
guilford_H19B,126,177,11,us_house_of_representatives_district_12
guilford_H28,552,517,28,us_house_of_representatives_district_12
guilford_H29A,370,302,19,us_house_of_representatives_district_12
guilford_H29B,384,307,21,us_house_of_representatives_district_12
guilford_JAM1,465,914,35,us_house_of_representatives_district_12
guilford_JAM2,307,500,28,us_house_of_representatives_district_12
guilford_JAM3,330,596,27,us_house_of_representatives_district_12
guilford_JEF3,1389,257,18,us_house_of_representatives_district_12
guilford_SUM1,542,360,21,us_house_of_representatives_district_12
guilford_SUM2,422,262,22,us_house_of_representatives_district_12
mecklenburg_3,657,89,6,us_house_of_representatives_district_12
