prec_id,Michael H. Wray,election
northampton_CONWAY,220,nc_house_of_representatives_district_27
northampton_CREEKS,165,nc_house_of_representatives_district_27
northampton_GALATI,165,nc_house_of_representatives_district_27
northampton_GARYSB,441,nc_house_of_representatives_district_27
northampton_GASTON,658,nc_house_of_representatives_district_27
northampton_JACKSO,173,nc_house_of_representatives_district_27
northampton_LAKE G,387,nc_house_of_representatives_district_27
northampton_LASKER,96,nc_house_of_representatives_district_27
northampton_MILWAU,157,nc_house_of_representatives_district_27
northampton_NEWTOW,181,nc_house_of_representatives_district_27
northampton_PENDLE,85,nc_house_of_representatives_district_27
northampton_PLEASA,121,nc_house_of_representatives_district_27
northampton_POTECA,71,nc_house_of_representatives_district_27
northampton_REHOBE,92,nc_house_of_representatives_district_27
northampton_RICH S,478,nc_house_of_representatives_district_27
northampton_SEABOA,281,nc_house_of_representatives_district_27
northampton_SEVERN,132,nc_house_of_representatives_district_27
northampton_WOODLA,248,nc_house_of_representatives_district_27
vance_CC,696,nc_house_of_representatives_district_27
vance_EH1,825,nc_house_of_representatives_district_27
vance_MIDD,1045,nc_house_of_representatives_district_27
vance_NH,1246,nc_house_of_representatives_district_27
vance_NH1,791,nc_house_of_representatives_district_27
vance_NV,474,nc_house_of_representatives_district_27
vance_WH,1485,nc_house_of_representatives_district_27
warren_001,336,nc_house_of_representatives_district_27
warren_002,265,nc_house_of_representatives_district_27
warren_003,319,nc_house_of_representatives_district_27
warren_004,290,nc_house_of_representatives_district_27
warren_005,494,nc_house_of_representatives_district_27
warren_006,418,nc_house_of_representatives_district_27
warren_007,305,nc_house_of_representatives_district_27
warren_008,473,nc_house_of_representatives_district_27
warren_009,225,nc_house_of_representatives_district_27
warren_010,731,nc_house_of_representatives_district_27
warren_011,164,nc_house_of_representatives_district_27
warren_012,266,nc_house_of_representatives_district_27
warren_013,187,nc_house_of_representatives_district_27
warren_014,521,nc_house_of_representatives_district_27
