prec_id,Johnny G. Rouse,Walter B. Jones,Darryl Holloman,election
lenoir_FC,330,1569,25,us_house_of_representatives_district_3
lenoir_I,146,517,3,us_house_of_representatives_district_3
lenoir_K4,408,993,21,us_house_of_representatives_district_3
lenoir_K9,520,497,11,us_house_of_representatives_district_3
lenoir_N,347,1002,16,us_house_of_representatives_district_3
lenoir_PH1,29,241,4,us_house_of_representatives_district_3
lenoir_PH2,87,394,7,us_house_of_representatives_district_3
lenoir_SW,62,356,5,us_house_of_representatives_district_3
lenoir_T1,76,526,6,us_house_of_representatives_district_3
lenoir_T2,50,370,6,us_house_of_representatives_district_3
lenoir_W,59,455,1,us_house_of_representatives_district_3
lenoir_CURBSIDE,10,17,0,us_house_of_representatives_district_3
nash_0004,91,704,16,us_house_of_representatives_district_3
nash_0025,307,571,18,us_house_of_representatives_district_3
nash_0026,125,653,11,us_house_of_representatives_district_3
nash_0035,240,683,13,us_house_of_representatives_district_3
nash_0036,313,491,16,us_house_of_representatives_district_3
nash_0037,307,556,19,us_house_of_representatives_district_3
nash_0039,215,591,13,us_house_of_representatives_district_3
nash_0041,97,257,5,us_house_of_representatives_district_3
onslow_BC21,153,682,51,us_house_of_representatives_district_3
onslow_BM08,414,776,51,us_house_of_representatives_district_3
onslow_CL10,74,418,18,us_house_of_representatives_district_3
onslow_CR07,200,682,40,us_house_of_representatives_district_3
onslow_EN03,385,664,30,us_house_of_representatives_district_3
onslow_FS16,147,689,36,us_house_of_representatives_district_3
onslow_GB12,187,497,23,us_house_of_representatives_district_3
onslow_HM05,214,507,26,us_house_of_representatives_district_3
onslow_HN14,124,387,10,us_house_of_representatives_district_3
onslow_HR17,75,259,13,us_house_of_representatives_district_3
onslow_HU20,92,471,27,us_house_of_representatives_district_3
onslow_JA01,173,308,31,us_house_of_representatives_district_3
onslow_ML23,68,184,16,us_house_of_representatives_district_3
onslow_MT24,71,381,21,us_house_of_representatives_district_3
onslow_NE22A,212,280,14,us_house_of_representatives_district_3
onslow_NE22B,265,615,36,us_house_of_representatives_district_3
onslow_NM13,36,277,12,us_house_of_representatives_district_3
onslow_NR02,215,69,9,us_house_of_representatives_district_3
onslow_RL09,255,724,28,us_house_of_representatives_district_3
onslow_SF18,163,763,63,us_house_of_representatives_district_3
onslow_SW19,169,821,46,us_house_of_representatives_district_3
onslow_TL06,154,492,30,us_house_of_representatives_district_3
onslow_VR15,71,351,16,us_house_of_representatives_district_3
onslow_WN04,229,773,36,us_house_of_representatives_district_3
pamlico_1AL A,58,169,2,us_house_of_representatives_district_3
pamlico_5AP,294,721,38,us_house_of_representatives_district_3
pamlico_3BY,365,314,8,us_house_of_representatives_district_3
pamlico_1GB,70,313,3,us_house_of_representatives_district_3
