prec_id,Daniel (Dan) Clodfelter,C. Morgan Edwards,election
mecklenburg_1,335,390,nc_state_senate_district_37
mecklenburg_2,591,313,nc_state_senate_district_37
mecklenburg_4,608,261,nc_state_senate_district_37
mecklenburg_5,339,117,nc_state_senate_district_37
mecklenburg_6,543,147,nc_state_senate_district_37
mecklenburg_7,378,251,nc_state_senate_district_37
mecklenburg_8,426,651,nc_state_senate_district_37
mecklenburg_9,631,456,nc_state_senate_district_37
mecklenburg_10,510,427,nc_state_senate_district_37
mecklenburg_15,738,317,nc_state_senate_district_37
mecklenburg_17,419,64,nc_state_senate_district_37
mecklenburg_18,346,555,nc_state_senate_district_37
mecklenburg_20,481,461,nc_state_senate_district_37
mecklenburg_21,381,273,nc_state_senate_district_37
mecklenburg_29,438,185,nc_state_senate_district_37
mecklenburg_32,374,702,nc_state_senate_district_37
mecklenburg_33,388,186,nc_state_senate_district_37
mecklenburg_34,458,276,nc_state_senate_district_37
mecklenburg_35,319,340,nc_state_senate_district_37
mecklenburg_37,335,434,nc_state_senate_district_37
mecklenburg_38,326,272,nc_state_senate_district_37
mecklenburg_44,408,226,nc_state_senate_district_37
mecklenburg_45,372,233,nc_state_senate_district_37
mecklenburg_46,557,226,nc_state_senate_district_37
mecklenburg_47,414,621,nc_state_senate_district_37
mecklenburg_49,346,458,nc_state_senate_district_37
mecklenburg_50,327,351,nc_state_senate_district_37
mecklenburg_51,476,464,nc_state_senate_district_37
mecklenburg_61,622,300,nc_state_senate_district_37
mecklenburg_62,497,169,nc_state_senate_district_37
mecklenburg_63,473,177,nc_state_senate_district_37
mecklenburg_64,272,165,nc_state_senate_district_37
mecklenburg_66,350,347,nc_state_senate_district_37
mecklenburg_83,675,439,nc_state_senate_district_37
mecklenburg_84,589,156,nc_state_senate_district_37
mecklenburg_94,529,257,nc_state_senate_district_37
mecklenburg_95,511,165,nc_state_senate_district_37
mecklenburg_99,340,89,nc_state_senate_district_37
mecklenburg_102,827,448,nc_state_senate_district_37
mecklenburg_108,581,96,nc_state_senate_district_37
mecklenburg_109,498,241,nc_state_senate_district_37
mecklenburg_115,394,230,nc_state_senate_district_37
mecklenburg_116,517,123,nc_state_senate_district_37
mecklenburg_117,447,220,nc_state_senate_district_37
mecklenburg_123,686,209,nc_state_senate_district_37
mecklenburg_124,751,151,nc_state_senate_district_37
mecklenburg_125,309,153,nc_state_senate_district_37
mecklenburg_130,330,191,nc_state_senate_district_37
mecklenburg_203,1277,502,nc_state_senate_district_37
mecklenburg_205,658,529,nc_state_senate_district_37
mecklenburg_CURBSIDE,68,31,nc_state_senate_district_37
