prec_id,Jeff Doctor,Sue Myrick,election
mecklenburg_201,1191,909,us_house_of_representatives_district_9
mecklenburg_202,773,1428,us_house_of_representatives_district_9
mecklenburg_203,1211,581,us_house_of_representatives_district_9
mecklenburg_207,414,1272,us_house_of_representatives_district_9
mecklenburg_208,448,1557,us_house_of_representatives_district_9
mecklenburg_209,595,1111,us_house_of_representatives_district_9
mecklenburg_214,759,543,us_house_of_representatives_district_9
mecklenburg_215,416,901,us_house_of_representatives_district_9
mecklenburg_216,612,1107,us_house_of_representatives_district_9
mecklenburg_217,300,662,us_house_of_representatives_district_9
mecklenburg_218,329,952,us_house_of_representatives_district_9
mecklenburg_219,263,676,us_house_of_representatives_district_9
mecklenburg_220,301,949,us_house_of_representatives_district_9
mecklenburg_221,382,1458,us_house_of_representatives_district_9
mecklenburg_222,1205,673,us_house_of_representatives_district_9
mecklenburg_223.1,1109,1152,us_house_of_representatives_district_9
mecklenburg_224,397,520,us_house_of_representatives_district_9
mecklenburg_225,159,325,us_house_of_representatives_district_9
mecklenburg_226,448,898,us_house_of_representatives_district_9
mecklenburg_227,659,1343,us_house_of_representatives_district_9
mecklenburg_229,889,1370,us_house_of_representatives_district_9
mecklenburg_230,1120,780,us_house_of_representatives_district_9
mecklenburg_231,534,700,us_house_of_representatives_district_9
mecklenburg_232,598,1421,us_house_of_representatives_district_9
mecklenburg_233,471,1481,us_house_of_representatives_district_9
mecklenburg_234,422,708,us_house_of_representatives_district_9
mecklenburg_235,462,783,us_house_of_representatives_district_9
mecklenburg_236,323,1189,us_house_of_representatives_district_9
mecklenburg_238.1,611,587,us_house_of_representatives_district_9
mecklenburg_240,447,1321,us_house_of_representatives_district_9
mecklenburg_241,540,1090,us_house_of_representatives_district_9
mecklenburg_242,214,1221,us_house_of_representatives_district_9
mecklenburg_243,1211,1309,us_house_of_representatives_district_9
mecklenburg_CURBSIDE,96,117,us_house_of_representatives_district_9
union_005,295,708,us_house_of_representatives_district_9
union_006,134,559,us_house_of_representatives_district_9
union_007,290,787,us_house_of_representatives_district_9
union_012,103,874,us_house_of_representatives_district_9
union_013,94,933,us_house_of_representatives_district_9
union_014,118,394,us_house_of_representatives_district_9
union_015,379,1176,us_house_of_representatives_district_9
union_016,255,1013,us_house_of_representatives_district_9
union_017A,238,919,us_house_of_representatives_district_9
union_017B,267,1108,us_house_of_representatives_district_9
union_018,203,980,us_house_of_representatives_district_9
union_019,343,1154,us_house_of_representatives_district_9
union_020A,333,755,us_house_of_representatives_district_9
union_020B,214,826,us_house_of_representatives_district_9
union_021,160,714,us_house_of_representatives_district_9
union_022,115,1033,us_house_of_representatives_district_9
union_023,205,678,us_house_of_representatives_district_9
union_024,133,701,us_house_of_representatives_district_9
union_028A,342,1084,us_house_of_representatives_district_9
union_028B,260,1039,us_house_of_representatives_district_9
union_028C,213,1009,us_house_of_representatives_district_9
union_028D,283,842,us_house_of_representatives_district_9
union_029A,445,733,us_house_of_representatives_district_9
union_029B,157,541,us_house_of_representatives_district_9
union_029C,153,625,us_house_of_representatives_district_9
union_030,439,1116,us_house_of_representatives_district_9
union_031,284,689,us_house_of_representatives_district_9
union_032,246,953,us_house_of_representatives_district_9
union_033,231,819,us_house_of_representatives_district_9
union_034,271,968,us_house_of_representatives_district_9
union_035,148,700,us_house_of_representatives_district_9
union_037A,343,834,us_house_of_representatives_district_9
union_037B,132,563,us_house_of_representatives_district_9
union_038A,318,677,us_house_of_representatives_district_9
union_038B,220,744,us_house_of_representatives_district_9
union_039,109,623,us_house_of_representatives_district_9
union_040,254,1159,us_house_of_representatives_district_9
union_041,239,1029,us_house_of_representatives_district_9
union_042,174,413,us_house_of_representatives_district_9
union_CURBSIDE,0,0,us_house_of_representatives_district_9
