prec_id,Josh Stein,Michael Beezley,Stephanie E. Watson,election
wake_43831,444,143,25,nc_state_senate_district_16
wake_43832,504,233,26,nc_state_senate_district_16
wake_43833,502,518,24,nc_state_senate_district_16
wake_43834,299,253,9,nc_state_senate_district_16
wake_43835,294,269,9,nc_state_senate_district_16
wake_43836,586,272,35,nc_state_senate_district_16
wake_43837,415,124,22,nc_state_senate_district_16
wake_01-07A,83,14,2,nc_state_senate_district_16
wake_43839,359,151,20,nc_state_senate_district_16
wake_43840,422,290,11,nc_state_senate_district_16
wake_43842,338,244,24,nc_state_senate_district_16
wake_43843,444,138,30,nc_state_senate_district_16
wake_43844,946,227,42,nc_state_senate_district_16
wake_43846,682,426,31,nc_state_senate_district_16
wake_43850,71,17,2,nc_state_senate_district_16
wake_43851,538,291,34,nc_state_senate_district_16
wake_43853,530,241,50,nc_state_senate_district_16
wake_43855,53,1,1,nc_state_senate_district_16
wake_43856,188,26,7,nc_state_senate_district_16
wake_43857,413,85,20,nc_state_senate_district_16
wake_43859,317,354,9,nc_state_senate_district_16
wake_43861,510,168,46,nc_state_senate_district_16
wake_11689,420,246,45,nc_state_senate_district_16
wake_12055,447,311,12,nc_state_senate_district_16
wake_12785,20,1,0,nc_state_senate_district_16
wake_14977,423,217,26,nc_state_senate_district_16
wake_17533,586,272,32,nc_state_senate_district_16
wake_17899,371,197,31,nc_state_senate_district_16
wake_43922,424,350,34,nc_state_senate_district_16
wake_43923,523,491,42,nc_state_senate_district_16
wake_43924,314,278,24,nc_state_senate_district_16
wake_43925,77,103,12,nc_state_senate_district_16
wake_43926,536,475,53,nc_state_senate_district_16
wake_43929,422,319,32,nc_state_senate_district_16
wake_43930,367,533,36,nc_state_senate_district_16
wake_43932,258,173,25,nc_state_senate_district_16
wake_43933,504,467,39,nc_state_senate_district_16
wake_43936,431,389,42,nc_state_senate_district_16
wake_43938,318,266,44,nc_state_senate_district_16
wake_43939,434,401,40,nc_state_senate_district_16
wake_43941,483,402,45,nc_state_senate_district_16
wake_43942,280,151,29,nc_state_senate_district_16
wake_43952,550,621,46,nc_state_senate_district_16
wake_43954,363,571,35,nc_state_senate_district_16
wake_43955,1068,924,94,nc_state_senate_district_16
wake_43956,847,847,62,nc_state_senate_district_16
wake_43957,666,870,45,nc_state_senate_district_16
wake_44013,418,334,32,nc_state_senate_district_16
wake_44022,705,614,56,nc_state_senate_district_16
wake_44136,571,471,43,nc_state_senate_district_16
wake_44137,757,721,37,nc_state_senate_district_16
wake_18-01,649,393,51,nc_state_senate_district_16
wake_18-06,405,314,37,nc_state_senate_district_16
wake_18-08,124,138,13,nc_state_senate_district_16
wake_20-02,700,770,71,nc_state_senate_district_16
